x y z
2.795084971874737352e-04 0.000000000000000000e+00 7.812500000000000639e-08
2.813853370454586986e-04 2.065633139358456430e-05 7.960439193082797604e-08
2.817482282939670775e-04 4.159006849276803672e-05 8.111179794402251787e-08
2.805665041629889687e-04 6.269118967534491554e-05 8.264774852115058561e-08
2.778174250311691413e-04 8.384666887007806815e-05 8.421278553155779125e-08
2.734864546610695662e-04 1.049410423151519626e-04 8.580746324527177766e-08
2.675674843518793724e-04 1.258569943930683852e-04 8.743234172005006038e-08
2.600630342189857113e-04 1.464759697031388548e-04 8.908799146766018183e-08
2.509844033348848538e-04 1.666788027200245034e-04 9.077499399354901887e-08
2.403517737526660546e-04 1.863463625931781060e-04 9.249394199776096995e-08
2.281942675606211512e-04 2.053602099521951410e-04 9.424543957913801099e-08
2.145499557678785460e-04 2.236032623260421619e-04 9.603010244284747912e-08
1.994658180636905346e-04 2.409604646730781699e-04 9.784855811128304596e-08
1.829976527455152286e-04 2.573194614249336835e-04 9.970144613838611585e-08
1.652099363721166005e-04 2.725712663714854596e-04 1.015894183274340902e-07
1.461756329662950891e-04 2.866109266571087617e-04 1.035131389523435803e-07
1.259759528662099122e-04 2.993381771207712420e-04 1.054732849825357778e-07
1.047000616031807106e-04 3.106580811949112607e-04 1.074705463114138907e-07
8.244473946590774886e-05 3.204816545808800154e-04 1.095056259884998944e-07
5.931399269474817311e-05 3.287264679424047650e-04 1.115792404552814862e-07
3.541861753350028643e-05 3.353172249032760309e-04 1.136921197848185805e-07
1.087571864853354330e-05 3.401863117014528146e-04 1.158450079251600783e-07
-1.419181629552019061e-05 3.432743149390232859e-04 1.180386629466215296e-07
-3.965588383950700640e-05 3.445305039758937422e-04 1.202738572929757722e-07
-6.538377138030448781e-05 3.439132746444890074e-04 1.225513780366076702e-07
-9.123880067472576257e-05 3.413905511128330047e-04 1.248720271376861850e-07
-1.170810053517995015e-04 3.369401428936866119e-04 1.272366217074060424e-07
-1.427678393478319305e-04 3.305500541874179378e-04 1.296459942753532850e-07
-1.681549129504438975e-04 3.222187429552725367e-04 1.321009930610473591e-07
-1.930967529234540482e-04 3.119553273469361150e-04 1.346024822497155083e-07
-2.174475829854805628e-04 2.997797373508186581e-04 1.371513422723532582e-07
-2.410621207328401516e-04 2.857228097963353209e-04 1.397484700901272431e-07
-2.637963869330326588e-04 2.698263251134941517e-04 1.423947794831753512e-07
-2.855085229700757374e-04 2.521429845450939020e-04 1.450912013438617069e-07
-3.060596120983226755e-04 2.327363268094744366e-04 1.478386839745422359e-07
-3.253145000582544576e-04 2.116805835256189169e-04 1.506381933898985704e-07
-3.431426105270375107e-04 1.890604730359801060e-04 1.534907136238987128e-07
-3.594188542246811910e-04 1.649709800565558632e-04 1.563973370330032085e-07
-3.740250900880576711e-04 1.395172319428658733e-04 1.593598260243790869e-07
-3.868494264427791828e-04 1.128133698908426787e-04 1.623793351652352949e-07
-3.977874270516332917e-04 8.498249795345928965e-05 1.654568620787681874e-07
-4.067430339492101882e-04 5.615628858183621176e-05 1.685934244134948124e-07
-4.136292606185479489e-04 2.647442197016208401e-05 1.717900602585008874e-07
-4.183688483571477317e-04 -3.916030042426157305e-06 1.750478285669792429e-07
-4.208948814403886134e-04 -3.486127314722731353e-05 1.783678095881643739e-07
-4.211513568388502776e-04 -6.620151010792386308e-05 1.817511053077741672e-07
-4.190937044213849860e-04 -9.777170762256097989e-05 1.851988398970707183e-07
-4.146892537774478273e-04 -1.294024071343410844e-04 1.887121601706582931e-07
-4.079176440194792297e-04 -1.609205759085271907e-04 1.922922360531346363e-07
-3.987711731781920228e-04 -1.921504943964744518e-04 1.959402610547211475e-07
-3.872550840794284016e-04 -2.229146756286556430e-04 1.996574527559939231e-07
-3.733877838896644237e-04 -2.530348121184344216e-04 2.034450533018461332e-07
-3.572009948369320805e-04 -2.823327455190377728e-04 2.073043299048117549e-07
-3.387398339534738881e-04 -3.106314540594014208e-04 2.112365753578850995e-07
-3.180628200442268917e-04 -3.377560525919372442e-04 2.152431085569737524e-07
-2.952418064595810961e-04 -3.635347999182584147e-04 2.193252750331249491e-07
-2.703618386398983528e-04 -3.878001079189141958e-04 2.234844474946679276e-07
-2.435209358011043853e-04 -4.103895469014470798e-04 2.277220263794206209e-07
-2.148297965432208808e-04 -4.311468414987006722e-04 2.320394404171073579e-07
-1.844114285848351496e-04 -4.499228513972614008e-04 2.364381472021419180e-07
-1.524007032540335843e-04 -4.665765311549723948e-04 2.409196337769309205e-07
-1.189438357979171390e-04 -4.809758633772941595e-04 2.454854172258554142e-07
-8.419779300617126147e-05 -4.929987595653579019e-04 2.501370452800916301e-07
-4.832963007684054635e-05 -5.025339230241810621e-04 2.548760969334377620e-07
-1.151575908207881085e-05 -5.094816683277966383e-04 2.597041830693113920e-07
2.605884818426656269e-05 -5.137546919789625754e-04 2.646229470990893482e-07
6.420151977928729666e-05 -5.152787890744129967e-04 2.696340656119636111e-07
1.027128020002325028e-04 -5.139935109918713444e-04 2.747392490364899801e-07
1.413874325938727582e-04 -5.098527593516788501e-04 2.799402423140078009e-07
1.800153644120369809e-04 -5.028253117731017316e-04 2.852388255841154072e-07
2.183828347794036534e-04 -4.928952752422124071e-04 2.906368148823846588e-07
2.562734754996025331e-04 -4.800624632335453936e-04 2.961360628505045239e-07
2.934694581077960875e-04 -4.643426930801884222e-04 3.017384594590455576e-07
3.297526686842513046e-04 -4.457680004650999960e-04 3.074459327430389838e-07
3.649059062760789257e-04 -4.243867683085826201e-04 3.132604495505690614e-07
3.987140987351719935e-04 -4.002637677511891611e-04 3.191840163045783171e-07
4.309655295712726893e-04 -3.734801093759119008e-04 3.252186797780906814e-07
4.614530692416456896e-04 -3.441331032762224196e-04 3.313665278830581949e-07
4.899754041545904609e-04 -3.123360270551373994e-04 3.376296904730417756e-07
5.163382565543479449e-04 -2.782178013326158596e-04 3.440103401599385450e-07
5.403555883810037081e-04 -2.419225728417902981e-04 3.505106931449719711e-07
5.618507821618166746e-04 -2.036092057062189264e-04 3.571330100641625694e-07
5.806577919908422055e-04 -1.634506820078208392e-04 3.638795968485019838e-07
5.966222576923765463e-04 -1.216334132757452695e-04 3.707528055990568178e-07
6.096025753411155653e-04 -7.835646504727535359e-05 3.777550354772253551e-07
6.194709174282248638e-04 -3.383069717013532880e-05 3.848887336103839696e-07
6.261141961177688238e-04 1.172217697158883420e-05 3.921563960131531395e-07
6.294349632320106512e-04 5.807060862122879119e-05 3.995605685245225667e-07
6.293522408365479848e-04 1.049743050231211966e-04 4.071038477610716146e-07
