x	y
8.660254037844385966e-01 1.432759909098055839e+00
8.671338833506316846e-01 1.434158734343884189e+00
8.682423629168248835e-01 1.435577216245280230e+00
8.693508424830179715e-01 1.437008647857860533e+00
8.704593220492110595e-01 1.438450635712932746e+00
8.715678016154041474e-01 1.439901796458600503e+00
8.726762811815973464e-01 1.441361196671929967e+00
8.737847607477904344e-01 1.442828151066251285e+00
8.748932403139835223e-01 1.444302128646599570e+00
8.760017198801767213e-01 1.445782702179558177e+00
8.771101994463698093e-01 1.447269518204779670e+00
8.782186790125628972e-01 1.448762277947363675e+00
8.793271585787559852e-01 1.450260724507340893e+00
8.804356381449491842e-01 1.451764633896446499e+00
8.815441177111422721e-01 1.453273808552248747e+00
8.826525972773353601e-01 1.454788072512812169e+00
8.837610768435285591e-01 1.456307267742052325e+00
8.848695564097216471e-01 1.457831251275203188e+00
8.859780359759147350e-01 1.459359892963014049e+00
8.870865155421078230e-01 1.460893073662234976e+00
8.881949951083010220e-01 1.462430683764883055e+00
8.893034746744941099e-01 1.463972621988839373e+00
8.904119542406871979e-01 1.465518794372930866e+00
8.915204338068803969e-01 1.467069113434072758e+00
8.926289133730734848e-01 1.468623497454340621e+00
8.937373929392665728e-01 1.470181869873291136e+00
8.948458725054596608e-01 1.471744158766363775e+00
8.959543520716528597e-01 1.473310296394283903e+00
8.970628316378459477e-01 1.474880218811506882e+00
8.981713112040390357e-01 1.476453865524114617e+00
8.992797907702322346e-01 1.478031179189404076e+00
9.003882703364253226e-01 1.479612105350863960e+00
9.014967499026184106e-01 1.481196592203345874e+00
9.026052294688114985e-01 1.482784590384147005e+00
9.037137090350046975e-01 1.484376052786443134e+00
9.048221886011977855e-01 1.485970934392082388e+00
9.059306681673908734e-01 1.487569192121237505e+00
9.070391477335840724e-01 1.489170784696786765e+00
9.081476272997771604e-01 1.490775672521620132e+00
9.092561068659702483e-01 1.492383817567330517e+00
9.103645864321633363e-01 1.493995183272962768e+00
9.114730659983565353e-01 1.495609734452686856e+00
9.125815455645496233e-01 1.497227437211402279e+00
9.136900251307427112e-01 1.498848258867423011e+00
9.147985046969359102e-01 1.500472167881496732e+00
9.159069842631289982e-01 1.502099133791502394e+00
9.170154638293220861e-01 1.503729127152261480e+00
9.181239433955151741e-01 1.505362119479953353e+00
9.192324229617083731e-01 1.506998083200694172e+00
9.203409025279014610e-01 1.508636991602887445e+00
9.214493820940945490e-01 1.510278818792996969e+00
9.225578616602877480e-01 1.511923539654431048e+00
9.236663412264808359e-01 1.513571129809264226e+00
9.247748207926739239e-01 1.515221565582549612e+00
9.258833003588670119e-01 1.516874823968998864e+00
9.269917799250602108e-01 1.518530882601832444e+00
9.281002594912532988e-01 1.520189719723621824e+00
9.292087390574463868e-01 1.521851314158964907e+00
9.303172186236394747e-01 1.523515645288843201e+00
9.314256981898326737e-01 1.525182693026537306e+00
9.325341777560257617e-01 1.526852437794975259e+00
9.336426573222188496e-01 1.528524860505409144e+00
9.347511368884120486e-01 1.530199942537320723e+00
9.358596164546051366e-01 1.531877665719465043e+00
9.369680960207982245e-01 1.533558012311972751e+00
9.380765755869913125e-01 1.535240964989435186e+00
9.391850551531845115e-01 1.536926506824904060e+00
9.402935347193775995e-01 1.538614621274741134e+00
9.414020142855706874e-01 1.540305292164265927e+00
9.425104938517638864e-01 1.541998503674142151e+00
9.436189734179569744e-01 1.543694240327458056e+00
9.447274529841500623e-01 1.545392486977456459e+00
9.458359325503431503e-01 1.547093228795870301e+00
9.469444121165363493e-01 1.548796451261827745e+00
9.480528916827294372e-01 1.550502140151290842e+00
9.491613712489225252e-01 1.552210281526997138e+00
9.502698508151157242e-01 1.553920861728870229e+00
9.513783303813088121e-01 1.555633867364874634e+00
9.524868099475019001e-01 1.557349285302286335e+00
9.535952895136949881e-01 1.559067102659360327e+00
9.547037690798881870e-01 1.560787306797361884e+00
9.558122486460812750e-01 1.562509885312954205e+00
9.569207282122743630e-01 1.564234826030912240e+00
9.580292077784675620e-01 1.565962116997149378e+00
9.591376873446606499e-01 1.567691746472039460e+00
9.602461669108537379e-01 1.569423702924017894e+00
9.613546464770468258e-01 1.571157975023446118e+00
9.624631260432400248e-01 1.572894551636727867e+00
9.635716056094331128e-01 1.574633421820662571e+00
9.646800851756262007e-01 1.576374574817021479e+00
9.657885647418193997e-01 1.578118000047344038e+00
9.668970443080124877e-01 1.579863687107927461e+00
9.680055238742055757e-01 1.581611625765020790e+00
9.691140034403986636e-01 1.583361805950192158e+00
9.702224830065918626e-01 1.585114217755878574e+00
9.713309625727849506e-01 1.586868851431096017e+00
9.724394421389780385e-01 1.588625697377312962e+00
9.735479217051712375e-01 1.590384746144471340e+00
9.746564012713643255e-01 1.592145988427151382e+00
