x	y
1.110459433040078103e+00 3.159886222907541065e+00
1.112414467253176831e+00 2.795685332710770243e+00
1.114369501466275558e+00 2.635250081620272855e+00
1.116324535679374286e+00 2.516596541086584260e+00
1.118279569892473013e+00 2.419702050092258361e+00
1.120234604105571741e+00 2.336747054774088284e+00
1.122189638318670468e+00 2.263704292175504396e+00
1.124144672531769196e+00 2.198174603648122449e+00
1.126099706744867923e+00 2.138591414537007296e+00
1.128054740957966873e+00 2.083864631219005670e+00
1.130009775171065600e+00 2.033199335757584159e+00
1.131964809384164328e+00 1.985994603677003978e+00
1.133919843597263055e+00 1.941782994566544129e+00
1.135874877810361783e+00 1.900192353375311116e+00
1.137829912023460510e+00 1.860920621108707707e+00
1.139784946236559238e+00 1.823718616443339657e+00
1.141739980449657965e+00 1.788377905619811470e+00
1.143695014662756693e+00 1.754722034682500542e+00
1.145650048875855420e+00 1.722600050183952680e+00
1.147605083088954148e+00 1.691881617773433266e+00
1.149560117302052875e+00 1.662453281685110085e+00
1.151515151515151603e+00 1.634215555039872481e+00
1.153470185728250330e+00 1.607080625835489496e+00
1.155425219941349058e+00 1.580970526403613796e+00
1.157380254154447785e+00 1.555815656698980254e+00
1.159335288367546513e+00 1.531553581188103808e+00
1.161290322580645240e+00 1.508128039765962214e+00
1.163245356793743968e+00 1.485488127882989451e+00
1.165200391006842695e+00 1.463587611755721829e+00
1.167155425219941423e+00 1.442384352385837287e+00
1.169110459433040150e+00 1.421839817950024676e+00
1.171065493646138878e+00 1.401918668513211896e+00
1.173020527859237605e+00 1.382588400354012315e+00
1.174975562072336333e+00 1.363819039751713147e+00
1.176930596285435060e+00 1.345582878067184129e+00
1.178885630498533788e+00 1.327854241498894527e+00
1.180840664711632515e+00 1.310609290114618908e+00
1.182795698924731242e+00 1.293825841726668147e+00
1.184750733137829970e+00 1.277483216950985323e+00
1.186705767350928697e+00 1.261562102411612374e+00
1.188660801564027425e+00 1.246044429554584720e+00
1.190615835777126152e+00 1.230913266944242412e+00
1.192570869990224880e+00 1.216152724249600192e+00
1.194525904203323607e+00 1.201747866403736653e+00
1.196480938416422335e+00 1.187684636646736402e+00
1.198435972629521062e+00 1.173949787351821872e+00
1.200391006842619790e+00 1.160530817691998839e+00
1.202346041055718517e+00 1.147415917336831237e+00
1.204301075268817245e+00 1.134593915480125670e+00
1.206256109481915972e+00 1.122054234593338640e+00
1.208211143695014700e+00 1.109786848379164415e+00
1.210166177908113427e+00 1.097782243467585239e+00
1.212121212121212155e+00 1.086031384454562154e+00
1.214076246334310882e+00 1.074525681933144128e+00
1.216031280547409610e+00 1.063256963209392669e+00
1.217986314760508337e+00 1.052217445432278131e+00
1.219941348973607065e+00 1.041399710898452957e+00
1.221896383186705792e+00 1.030796684320357315e+00
1.223851417399804520e+00 1.020401611870033420e+00
1.225806451612903247e+00 1.010208041831914816e+00
1.227761485826001975e+00 1.000209806716044536e+00
1.229716520039100702e+00 9.904010066991831840e-01
1.231671554252199430e+00 9.807759942752378723e-01
1.233626588465298157e+00 9.713293600088050983e-01
1.235581622678396885e+00 9.620559192964762696e-01
1.237536656891495612e+00 9.529507000501582503e-01
1.239491691104594340e+00 9.440089312251720433e-01
1.241446725317693067e+00 9.352260321234316942e-01
1.243401759530791795e+00 9.265976024087145824e-01
1.245356793743890522e+00 9.181194127770043734e-01
1.247311827956989250e+00 9.097873962302094331e-01
1.249266862170087977e+00 9.015976399063203583e-01
1.251221896383186705e+00 8.935463774233421974e-01
1.253176930596285432e+00 8.856299816981305639e-01
1.255131964809384160e+00 8.778449582047208599e-01
1.257086999022482887e+00 8.701879386397997074e-01
1.259042033235581615e+00 8.626556749657595669e-01
1.260997067448680342e+00 8.552450338042753009e-01
1.262952101661779070e+00 8.479529911556179522e-01
1.264907135874877797e+00 8.407766274209533819e-01
1.266862170087976525e+00 8.337131227067292594e-01
1.268817204301075252e+00 8.267597523919579805e-01
1.270772238514173980e+00 8.199138829406986684e-01
1.272727272727272707e+00 8.131729679434483993e-01
1.274682306940371435e+00 8.065345443724242225e-01
1.276637341153470162e+00 7.999962290368436424e-01
1.278592375366568890e+00 7.935557152253923663e-01
1.280547409579667617e+00 7.872107695240079250e-01
1.282502443792766345e+00 7.809592287979942871e-01
1.284457478005865072e+00 7.747989973282830567e-01
1.286412512218963800e+00 7.687280440924049163e-01
1.288367546432062527e+00 7.627444001813841190e-01
1.290322580645161255e+00 7.568461563444272011e-01
1.292277614858259982e+00 7.510314606538115445e-01
1.294232649071358709e+00 7.452985162829267596e-01
1.296187683284457437e+00 7.396455793909012533e-01
1.298142717497556164e+00 7.340709571076786677e-01
1.300097751710654892e+00 7.285730056138426391e-01
1.302052785923753619e+00 7.231501283098413779e-01
1.304007820136852347e+00 7.178007740696444872e-01
1.305962854349951074e+00 7.125234355741529857e-01
1.307917888563049802e+00 7.073166477200200086e-01
1.309872922776148529e+00 7.021789860997880162e-01
1.311827956989247257e+00 6.971090655495268962e-01
1.313782991202345984e+00 6.921055387603840536e-01
1.315738025415444712e+00 6.871670949506822890e-01
1.317693059628543439e+00 6.822924585954160959e-01
1.319648093841642167e+00 6.774803882101737562e-01
1.321603128054740894e+00 6.727296751867056779e-01
1.323558162267839622e+00 6.680391426775137420e-01
1.325513196480938349e+00 6.634076445270064015e-01
1.327468230694037077e+00 6.588340642468836217e-01
1.329423264907135804e+00 6.543173140335855065e-01
1.331378299120234532e+00 6.498563338257281607e-01
1.333333333333333259e+00 6.454500903995943339e-01
1.335288367546431987e+00 6.410975765008448679e-01
1.337243401759530714e+00 6.367978100107184458e-01
1.339198435972629442e+00 6.325498331450899459e-01
1.341153470185728169e+00 6.283527116848433014e-01
1.343108504398826897e+00 6.242055342360971482e-01
1.345063538611925624e+00 6.201074115189103564e-01
1.347018572825024352e+00 6.160574756831532772e-01
1.348973607038123079e+00 6.120548796503166855e-01
1.350928641251221807e+00 6.080987964800840251e-01
1.352883675464320534e+00 6.041884187605573997e-01
1.354838709677419262e+00 6.003229580210901473e-01
1.356793743890517989e+00 5.965016441667246871e-01
1.358748778103616717e+00 5.927237249332932834e-01
1.360703812316715444e+00 5.889884653622811106e-01
1.362658846529814172e+00 5.852951472946058553e-01
1.364613880742912899e+00 5.816430688824927309e-01
1.366568914956011627e+00 5.780315441186895109e-01
1.368523949169110354e+00 5.744599023822786199e-01
1.370478983382209082e+00 5.709274880004002739e-01
1.372434017595307809e+00 5.674336598252162078e-01
1.374389051808406537e+00 5.639777908254935967e-01
1.376344086021505486e+00 5.605592676922012130e-01
1.378299120234604214e+00 5.571774904575552689e-01
1.380254154447702941e+00 5.538318721269623879e-01
1.382209188660801669e+00 5.505218383233478896e-01
1.384164222873900396e+00 5.472468269433751198e-01
1.386119257086999124e+00 5.440062878250810918e-01
1.388074291300097851e+00 5.407996824264784674e-01
1.390029325513196579e+00 5.376264835147015475e-01
1.391984359726295306e+00 5.344861748652782740e-01
1.393939393939394034e+00 5.313782509711428848e-01
1.395894428152492761e+00 5.283022167610137432e-01
1.397849462365591489e+00 5.252575873267786299e-01
1.399804496578690216e+00 5.222438876595471013e-01
1.401759530791788944e+00 5.192606523940457297e-01
1.403714565004887671e+00 5.163074255610380359e-01
