x	y
2.000000000000000000e+00 1.991613996595102520e+01
1.998044965786901273e+00 1.988984743380252240e+01
1.996089931573802545e+00 1.986354542025980052e+01
1.994134897360703818e+00 1.983723388594538406e+01
1.992179863147605090e+00 1.981091279124717630e+01
1.990224828934506363e+00 1.978458209631661902e+01
1.988269794721407635e+00 1.975824176106686991e+01
1.986314760508308908e+00 1.973189174517075983e+01
1.984359726295210180e+00 1.970553200805903771e+01
1.982404692082111453e+00 1.967916250891833840e+01
1.980449657869012725e+00 1.965278320668928203e+01
1.978494623655913998e+00 1.962639406006447373e+01
1.976539589442815270e+00 1.959999502748647160e+01
1.974584555229716543e+00 1.957358606714586102e+01
1.972629521016617815e+00 1.954716713697918706e+01
1.970674486803519088e+00 1.952073819466683702e+01
1.968719452590420360e+00 1.949429919763105090e+01
1.966764418377321633e+00 1.946785010303374364e+01
1.964809384164222905e+00 1.944139086777450487e+01
1.962854349951124178e+00 1.941492144848830392e+01
1.960899315738025450e+00 1.938844180154347541e+01
1.958944281524926723e+00 1.936195188303939929e+01
1.956989247311827995e+00 1.933545164880441902e+01
1.955034213098729268e+00 1.930894105439351804e+01
1.953079178885630540e+00 1.928242005508609225e+01
1.951124144672531813e+00 1.925588860588369045e+01
1.949169110459433085e+00 1.922934666150773708e+01
1.947214076246334358e+00 1.920279417639710218e+01
1.945259042033235630e+00 1.917623110470589154e+01
1.943304007820136903e+00 1.914965740030095986e+01
1.941348973607038175e+00 1.912307301675954108e+01
1.939393939393939448e+00 1.909647790736689643e+01
1.937438905180840720e+00 1.906987202511375656e+01
1.935483870967741993e+00 1.904325532269389143e+01
1.933528836754643265e+00 1.901662775250166604e+01
1.931573802541544538e+00 1.898998926662937592e+01
1.929618768328445810e+00 1.896333981686481351e+01
1.927663734115347083e+00 1.893667935468865338e+01
1.925708699902248355e+00 1.891000783127178053e+01
1.923753665689149628e+00 1.888332519747275740e+01
1.921798631476050900e+00 1.885663140383503489e+01
1.919843597262952173e+00 1.882992640058437317e+01
1.917888563049853445e+00 1.880321013762602078e+01
1.915933528836754718e+00 1.877648256454200038e+01
1.913978494623655990e+00 1.874974363058834470e+01
1.912023460410557263e+00 1.872299328469222601e+01
1.910068426197458535e+00 1.869623147544915653e+01
1.908113391984359808e+00 1.866945815112009655e+01
1.906158357771261080e+00 1.864267325962853050e+01
1.904203323558162353e+00 1.861587674855752184e+01
1.902248289345063625e+00 1.858906856514677841e+01
1.900293255131964898e+00 1.856224865628962206e+01
1.898338220918866170e+00 1.853541696852990128e+01
1.896383186705767443e+00 1.850857344805901761e+01
1.894428152492668715e+00 1.848171804071271040e+01
1.892473118279569988e+00 1.845485069196799799e+01
1.890518084066471260e+00 1.842797134693995176e+01
1.888563049853372533e+00 1.840107995037847033e+01
1.886608015640273806e+00 1.837417644666508920e+01
1.884652981427175078e+00 1.834726077980964831e+01
1.882697947214076351e+00 1.832033289344695959e+01
1.880742913000977623e+00 1.829339273083347450e+01
1.878787878787878896e+00 1.826644023484387702e+01
1.876832844574780168e+00 1.823947534796759484e+01
1.874877810361681219e+00 1.821249801230544207e+01
1.872922776148582491e+00 1.818550816956597416e+01
1.870967741935483764e+00 1.815850576106196712e+01
1.869012707722385036e+00 1.813149072770684356e+01
1.867057673509286309e+00 1.810446301001105951e+01
1.865102639296187581e+00 1.807742254807831728e+01
1.863147605083088854e+00 1.805036928160192033e+01
1.861192570869990126e+00 1.802330314986102522e+01
1.859237536656891399e+00 1.799622409171675130e+01
1.857282502443792671e+00 1.796913204560835098e+01
1.855327468230693944e+00 1.794202694954935140e+01
1.853372434017595216e+00 1.791490874112356124e+01
1.851417399804496489e+00 1.788777735748108810e+01
1.849462365591397761e+00 1.786063273533427420e+01
1.847507331378299034e+00 1.783347481095365694e+01
1.845552297165200306e+00 1.780630352016377671e+01
1.843597262952101579e+00 1.777911879833904152e+01
1.841642228739002851e+00 1.775192058039943532e+01
1.839687194525904124e+00 1.772470880080625477e+01
1.837732160312805396e+00 1.769748339355779265e+01
1.835777126099706669e+00 1.767024429218491122e+01
1.833822091886607941e+00 1.764299142974660484e+01
1.831867057673509214e+00 1.761572473882550582e+01
1.829912023460410486e+00 1.758844415152335827e+01
1.827956989247311759e+00 1.756114959945636045e+01
1.826001955034213031e+00 1.753384101375053561e+01
1.824046920821114304e+00 1.750651832503698202e+01
1.822091886608015576e+00 1.747918146344709811e+01
1.820136852394916849e+00 1.745183035860785381e+01
1.818181818181818121e+00 1.742446493963665688e+01
1.816226783968719394e+00 1.739708513513665622e+01
1.814271749755620666e+00 1.736969087319153360e+01
1.812316715542521939e+00 1.734228208136051563e+01
1.810361681329423211e+00 1.731485868667322947e+01
1.808406647116324484e+00 1.728742061562440924e+01
1.806451612903225756e+00 1.725996779416874460e+01
1.804496578690127029e+00 1.723250014771546645e+01
1.802541544477028301e+00 1.720501760112290768e+01
1.800586510263929574e+00 1.717752007869314923e+01
1.798631476050830846e+00 1.715000750416636777e+01
1.796676441837732119e+00 1.712247980071522591e+01
1.794721407624633391e+00 1.709493689093926605e+01
1.792766373411534664e+00 1.706737869685904840e+01
1.790811339198435936e+00 1.703980513991043821e+01
1.788856304985337209e+00 1.701221614093855905e+01
1.786901270772238481e+00 1.698461162019193083e+01
1.784946236559139754e+00 1.695699149731635913e+01
1.782991202346041026e+00 1.692935569134877483e+01
1.781036168132942299e+00 1.690170412071107009e+01
1.779081133919843571e+00 1.687403670320376747e+01
1.777126099706744844e+00 1.684635335599961792e+01
1.775171065493646116e+00 1.681865399563718455e+01
1.773216031280547389e+00 1.679093853801428793e+01
1.771260997067448661e+00 1.676320689838130562e+01
1.769305962854349934e+00 1.673545899133453574e+01
1.767350928641251206e+00 1.670769473080933665e+01
1.765395894428152479e+00 1.667991403007324891e+01
1.763440860215053752e+00 1.665211680171895026e+01
1.761485826001955024e+00 1.662430295765727806e+01
1.759530791788856297e+00 1.659647240910990007e+01
1.757575757575757569e+00 1.656862506660214152e+01
1.755620723362658842e+00 1.654076083995560253e+01
1.753665689149560114e+00 1.651287963828064420e+01
1.751710654936461387e+00 1.648498136996884256e+01
1.749755620723362659e+00 1.645706594268526501e+01
1.747800586510263932e+00 1.642913326336070412e+01
1.745845552297165204e+00 1.640118323818385448e+01
1.743890518084066477e+00 1.637321577259320193e+01
1.741935483870967749e+00 1.634523077126899437e+01
1.739980449657869022e+00 1.631722813812499595e+01
1.738025415444770294e+00 1.628920777630015948e+01
1.736070381231671567e+00 1.626116958815014257e+01
1.734115347018572839e+00 1.623311347523880599e+01
1.732160312805474112e+00 1.620503933832942778e+01
1.730205278592375384e+00 1.617694707737601689e+01
1.728250244379276657e+00 1.614883659151429640e+01
1.726295210166177929e+00 1.612070777905263697e+01
1.724340175953079202e+00 1.609256053746295478e+01
1.722385141739980474e+00 1.606439476337128625e+01
1.720430107526881747e+00 1.603621035254845850e+01
1.718475073313783019e+00 1.600800719990035859e+01
1.716520039100684292e+00 1.597978519945837483e+01
1.714565004887585564e+00 1.595154424436940133e+01
1.712609970674486837e+00 1.592328422688591694e+01
1.710654936461388109e+00 1.589500503835582279e+01
1.708699902248289382e+00 1.586670656921210032e+01
1.706744868035190654e+00 1.583838870896243378e+01
1.704789833822091927e+00 1.581005134617860541e+01
1.702834799608993199e+00 1.578169436848569163e+01
1.700879765395894472e+00 1.575331766255122012e+01
1.698924731182795744e+00 1.572492111407403570e+01
1.696969696969697017e+00 1.569650460777311984e+01
1.695014662756598289e+00 1.566806802737618476e+01
1.693059628543499562e+00 1.563961125560809862e+01
1.691104594330400834e+00 1.561113417417911897e+01
1.689149560117302107e+00 1.558263666377301782e+01
1.687194525904203379e+00 1.555411860403494728e+01
1.685239491691104652e+00 1.552557987355919522e+01
1.683284457478005924e+00 1.549702034987668675e+01
1.681329423264907197e+00 1.546843990944236680e+01
1.679374389051808469e+00 1.543983842762235881e+01
1.677419354838709742e+00 1.541121577868087300e+01
1.675464320625611014e+00 1.538257183576700804e+01
1.673509286412512287e+00 1.535390647090129868e+01
1.671554252199413559e+00 1.532521955496203780e+01
1.669599217986314832e+00 1.529651095767146707e+01
1.667644183773216104e+00 1.526778054758165482e+01
1.665689149560117377e+00 1.523902819206017867e+01
1.663734115347018649e+00 1.521025375727571394e+01
1.661779081133919922e+00 1.518145710818310157e+01
1.659824046920821194e+00 1.515263810850852799e+01
1.657869012707722467e+00 1.512379662073424136e+01
1.655913978494623739e+00 1.509493250608308834e+01
1.653958944281525012e+00 1.506604562450282359e+01
1.652003910068426284e+00 1.503713583465014025e+01
1.650048875855327557e+00 1.500820299387444656e+01
1.648093841642228830e+00 1.497924695820144514e+01
1.646138807429130102e+00 1.495026758231630737e+01
1.644183773216031375e+00 1.492126471954675182e+01
1.642228739002932647e+00 1.489223822184568391e+01
1.640273704789833920e+00 1.486318793977370412e+01
1.638318670576735192e+00 1.483411372248113835e+01
1.636363636363636465e+00 1.480501541769000440e+01
1.634408602150537737e+00 1.477589287167548981e+01
1.632453567937439010e+00 1.474674592924720606e+01
1.630498533724340282e+00 1.471757443373016372e+01
1.628543499511241555e+00 1.468837822694531248e+01
1.626588465298142605e+00 1.465915714918990176e+01
1.624633431085043878e+00 1.462991103921739366e+01
1.622678396871945150e+00 1.460063973421711658e+01
1.620723362658846423e+00 1.457134306979348715e+01
1.618768328445747695e+00 1.454202087994500836e+01
1.616813294232648968e+00 1.451267299704275260e+01
1.614858260019550240e+00 1.448329925180864031e+01
1.612903225806451513e+00 1.445389947329316982e+01
1.610948191593352785e+00 1.442447348885294645e+01
1.608993157380254058e+00 1.439502112412766621e+01
1.607038123167155330e+00 1.436554220301677631e+01
1.605083088954056603e+00 1.433603654765573943e+01
1.603128054740957875e+00 1.430650397839183441e+01
1.601173020527859148e+00 1.427694431375957684e+01
1.599217986314760420e+00 1.424735737045563688e+01
1.597262952101661693e+00 1.421774296331342313e+01
1.595307917888562965e+00 1.418810090527709633e+01
1.593352883675464238e+00 1.415843100737520288e+01
1.591397849462365510e+00 1.412873307869377193e+01
1.589442815249266783e+00 1.409900692634901098e+01
1.587487781036168055e+00 1.406925235545938335e+01
1.585532746823069328e+00 1.403946916911733211e+01
1.583577712609970600e+00 1.400965716836033259e+01
1.581622678396871873e+00 1.397981615214151674e+01
1.579667644183773145e+00 1.394994591729976818e+01
1.577712609970674418e+00 1.392004625852918132e+01
1.575757575757575690e+00 1.389011696834797149e+01
1.573802541544476963e+00 1.386015783706691451e+01
1.571847507331378235e+00 1.383016865275704177e+01
1.569892473118279508e+00 1.380014920121685051e+01
1.567937438905180780e+00 1.377009926593879108e+01
1.565982404692082053e+00 1.374001862807524788e+01
1.564027370478983325e+00 1.370990706640374235e+01
1.562072336265884598e+00 1.367976435729154616e+01
1.560117302052785870e+00 1.364959027465961938e+01
1.558162267839687143e+00 1.361938458994580081e+01
1.556207233626588415e+00 1.358914707206732864e+01
1.554252199413489688e+00 1.355887748738265586e+01
1.552297165200390960e+00 1.352857559965242551e+01
1.550342130987292233e+00 1.349824116999978152e+01
