x	y
0.000000000000000000e+00 9.724148118236188854e-01
9.770395701025891277e-04 9.724156631350663327e-01
1.954079140205178255e-03 9.724182170776075607e-01
2.931118710307767383e-03 9.724224736758366738e-01
3.908158280410356511e-03 9.724284329707464369e-01
4.885197850512945639e-03 9.724360950197271647e-01
5.862237420615534766e-03 9.724454598965681651e-01
6.839276990718123894e-03 9.724565276914598488e-01
7.816316560820713022e-03 9.724692985109958387e-01
8.793356130923302150e-03 9.724837724781736359e-01
9.770395701025891277e-03 9.724999497323995046e-01
1.074743527112848041e-02 9.725178304294900267e-01
1.172447484123106953e-02 9.725374147416749882e-01
1.270151441133365866e-02 9.725587028576021531e-01
1.367855398143624779e-02 9.725816949823410384e-01
1.465559355153883692e-02 9.726063913373863556e-01
1.563263312164142604e-02 9.726327921606634508e-01
1.660967269174401517e-02 9.726608977065337447e-01
1.758671226184660430e-02 9.726907082457987297e-01
1.856375183194919343e-02 9.727222240657075192e-01
1.954079140205178255e-02 9.727554454699607334e-01
2.051783097215437168e-02 9.727903727787188259e-01
2.149487054225696081e-02 9.728270063286080793e-01
2.247191011235954994e-02 9.728653464727275990e-01
2.344894968246213907e-02 9.729053935806574183e-01
2.442598925256472819e-02 9.729471480384649373e-01
2.540302882266731732e-02 9.729906102487145825e-01
2.638006839276990645e-02 9.730357806304755774e-01
2.735710796287249558e-02 9.730826596193316025e-01
2.833414753297508470e-02 9.731312476673880107e-01
2.931118710307767383e-02 9.731815452432842628e-01
3.028822667318026296e-02 9.732335528322009210e-01
3.126526624328285209e-02 9.732872709358725283e-01
3.224230581338544122e-02 9.733427000725963785e-01
3.321934538348803034e-02 9.733998407772437300e-01
3.419638495359061947e-02 9.734586936012722402e-01
3.517342452369320860e-02 9.735192591127367345e-01
3.615046409379579773e-02 9.735815378963011968e-01
3.712750366389838685e-02 9.736455305532517590e-01
3.810454323400097598e-02 9.737112377015082476e-01
3.908158280410356511e-02 9.737786599756387274e-01
4.005862237420615424e-02 9.738477980268724910e-01
4.103566194430874337e-02 9.739186525231124936e-01
4.201270151441133249e-02 9.739912241489518951e-01
4.298974108451392162e-02 9.740655136056866059e-01
4.396678065461651075e-02 9.741415216113307185e-01
4.494382022471909988e-02 9.742192489006326062e-01
4.592085979482168900e-02 9.742986962250886895e-01
4.689789936492427813e-02 9.743798643529616443e-01
4.787493893502686726e-02 9.744627540692941681e-01
4.885197850512945639e-02 9.745473661759278539e-01
4.982901807523204551e-02 9.746337014915188446e-01
5.080605764533463464e-02 9.747217608515563736e-01
5.178309721543722377e-02 9.748115451083780858e-01
5.276013678553981290e-02 9.749030551311914650e-01
5.373717635564240203e-02 9.749962918060897099e-01
5.471421592574499115e-02 9.750912560360718295e-01
5.569125549584758028e-02 9.751879487410609615e-01
5.666829506595016941e-02 9.752863708579249113e-01
5.764533463605275854e-02 9.753865233404948043e-01
5.862237420615534766e-02 9.754884071595874007e-01
5.959941377625793679e-02 9.755920233030223043e-01
6.057645334636052592e-02 9.756973727756464987e-01
6.155349291646311505e-02 9.758044565993542196e-01
6.253053248656570418e-02 9.759132758131080498e-01
6.350757205666829330e-02 9.760238314729615672e-01
6.448461162677088243e-02 9.761361246520827706e-01
6.546165119687347156e-02 9.762501564407749521e-01
6.643869076697606069e-02 9.763659279465020102e-01
6.741573033707864981e-02 9.764834402939103208e-01
6.839276990718123894e-02 9.766026946248531626e-01
6.936980947728382807e-02 9.767236920984155857e-01
7.034684904738641720e-02 9.768464338909390587e-01
7.132388861748900633e-02 9.769709211960450057e-01
7.230092818759159545e-02 9.770971552246627834e-01
7.327796775769418458e-02 9.772251372050529961e-01
7.425500732779677371e-02 9.773548683828353623e-01
7.523204689789936284e-02 9.774863500210151379e-01
7.620908646800195196e-02 9.776195834000083185e-01
7.718612603810454109e-02 9.777545698176711708e-01
7.816316560820713022e-02 9.778913105893277669e-01
7.914020517830971935e-02 9.780298070477951855e-01
8.011724474841230847e-02 9.781700605434157092e-01
8.109428431851489760e-02 9.783120724440840243e-01
8.207132388861748673e-02 9.784558441352753100e-01
8.304836345872007586e-02 9.786013770200775452e-01
8.402540302882266499e-02 9.787486725192185988e-01
8.500244259892525411e-02 9.788977320710980923e-01
8.597948216902784324e-02 9.790485571318190416e-01
8.695652173913043237e-02 9.792011491752167229e-01
8.793356130923302150e-02 9.793555096928917569e-01
8.891060087933561062e-02 9.795116401942423057e-01
8.988764044943819975e-02 9.796695422064949366e-01
9.086468001954078888e-02 9.798292172747390394e-01
9.184171958964337801e-02 9.799906669619582456e-01
9.281875915974596714e-02 9.801538928490651781e-01
9.379579872984855626e-02 9.803188965349344253e-01
9.477283829995114539e-02 9.804856796364372906e-01
9.574987787005373452e-02 9.806542437884779861e-01
9.672691744015632365e-02 9.808245906440250517e-01
9.770395701025891277e-02 9.809967218741499906e-01
9.868099658036150190e-02 9.811706391680615758e-01
9.965803615046409103e-02 9.813463442331430420e-01
1.006350757205666802e-01 9.815238387949886123e-01
1.016121152906692693e-01 9.817031245974393583e-01
1.025891548607718584e-01 9.818842034026223908e-01
1.035661944308744475e-01 9.820670769909877196e-01
1.045432340009770367e-01 9.822517471613466666e-01
1.055202735710796258e-01 9.824382157309108354e-01
1.064973131411822149e-01 9.826264845353313016e-01
1.074743527112848041e-01 9.828165554287373595e-01
1.084513922813873932e-01 9.830084302837772681e-01
1.094284318514899823e-01 9.832021109916582180e-01
1.104054714215925714e-01 9.833975994621874106e-01
1.113825109916951606e-01 9.835948976238126917e-01
1.123595505617977497e-01 9.837940074236646293e-01
1.133365901319003388e-01 9.839949308275983686e-01
1.143136297020029279e-01 9.841976698202354878e-01
1.152906692721055171e-01 9.844022264050081850e-01
1.162677088422081062e-01 9.846086026042007999e-01
1.172447484123106953e-01 9.848168004589947788e-01
1.182217879824132845e-01 9.850268220295130828e-01
1.191988275525158736e-01 9.852386693948627094e-01
1.201758671226184627e-01 9.854523446531822106e-01
1.211529066927210518e-01 9.856678499216851019e-01
1.221299462628236410e-01 9.858851873367067142e-01
1.231069858329262301e-01 9.861043590537500458e-01
1.240840254030288192e-01 9.863253672475329470e-01
1.250610649731314084e-01 9.865482141120343051e-01
