x	y
-1.757575757575757569e+00 -1.080443877124702690e+00
-1.753665689149560114e+00 -1.092983280261662138e+00
-1.749755620723362659e+00 -1.102233974374021264e+00
-1.745845552297165204e+00 -1.109860984732719436e+00
-1.741935483870967749e+00 -1.116471391279987513e+00
-1.738025415444770294e+00 -1.122368228162303749e+00
-1.734115347018572839e+00 -1.127728665208212355e+00
-1.730205278592375384e+00 -1.132666913987761870e+00
-1.726295210166177929e+00 -1.137261697277099692e+00
-1.722385141739980474e+00 -1.141569997403756531e+00
-1.718475073313783019e+00 -1.145634632221457005e+00
-1.714565004887585564e+00 -1.149488741341588183e+00
-1.710654936461388109e+00 -1.153158595891589533e+00
-1.706744868035190654e+00 -1.156665439265164741e+00
-1.702834799608993199e+00 -1.160026738448756367e+00
-1.698924731182795744e+00 -1.163257061381492763e+00
-1.695014662756598289e+00 -1.166368708490478578e+00
-1.691104594330400834e+00 -1.169372177676115454e+00
-1.687194525904203379e+00 -1.172276513473124337e+00
-1.683284457478005924e+00 -1.175089573807571952e+00
-1.679374389051808469e+00 -1.177818236939240926e+00
-1.675464320625611014e+00 -1.180468564206154758e+00
-1.671554252199413559e+00 -1.183045929587075662e+00
-1.667644183773216104e+00 -1.185555123993138782e+00
-1.663734115347018649e+00 -1.188000440062973562e+00
-1.659824046920821194e+00 -1.190385741738468228e+00
-1.655913978494623517e+00 -1.192714521831762076e+00
-1.652003910068426062e+00 -1.194989950023155334e+00
-1.648093841642228607e+00 -1.197214913164690531e+00
-1.644183773216031152e+00 -1.199392049345039846e+00
-1.640273704789833698e+00 -1.201523776856592285e+00
-1.636363636363636243e+00 -1.203612318967118622e+00
-1.632453567937438788e+00 -1.205659725215421973e+00
-1.628543499511241333e+00 -1.207667889808998751e+00
-1.624633431085043878e+00 -1.209638567591522884e+00
-1.620723362658846423e+00 -1.211573387961257353e+00
-1.616813294232648968e+00 -1.213473867052765831e+00
-1.612903225806451513e+00 -1.215341418439621846e+00
-1.608993157380254058e+00 -1.217177362571774557e+00
-1.605083088954056603e+00 -1.218982935125660028e+00
-1.601173020527859148e+00 -1.220759294416349006e+00
-1.597262952101661693e+00 -1.222507527997274135e+00
-1.593352883675464238e+00 -1.224228658553817128e+00
-1.589442815249266783e+00 -1.225923649180882258e+00
