x	y
-1.757575757575757569e+00 -1.023944598211411261e+00
-1.753665689149560114e+00 -1.010024108310368929e+00
-1.749755620723362659e+00 -9.993921664898923751e-01
-1.745845552297165204e+00 -9.903837471273589932e-01
-1.741935483870967749e+00 -9.823917699277615601e-01
-1.738025415444770294e+00 -9.751132003907486689e-01
-1.734115347018572839e+00 -9.683708683327799660e-01
-1.730205278592375384e+00 -9.620505618277154225e-01
-1.726295210166177929e+00 -9.560735577421872744e-01
-1.722385141739980474e+00 -9.503828733903322279e-01
-1.718475073313783019e+00 -9.449356905589590960e-01
-1.714565004887585564e+00 -9.396988692760932516e-01
-1.710654936461388109e+00 -9.346461380525625806e-01
-1.706744868035190654e+00 -9.297562531318004364e-01
-1.702834799608993199e+00 -9.250117471633522159e-01
-1.698924731182795744e+00 -9.203980518429260016e-01
-1.695014662756598289e+00 -9.159028663771018319e-01
-1.691104594330400834e+00 -9.115156924980022390e-01
-1.687194525904203379e+00 -9.072274853022732621e-01
-1.683284457478005924e+00 -9.030303864940338876e-01
-1.679374389051808469e+00 -8.989175174425263481e-01
-1.675464320625611014e+00 -8.948828164375672856e-01
-1.671554252199413559e+00 -8.909209091270476888e-01
-1.667644183773216104e+00 -8.870270042253058929e-01
-1.663734115347018649e+00 -8.831968087179868920e-01
-1.659824046920821194e+00 -8.794264582862768576e-01
-1.655913978494623517e+00 -8.757124597399090771e-01
-1.652003910068426062e+00 -8.720516430192519763e-01
-1.648093841642228607e+00 -8.684411208917084402e-01
-1.644183773216031152e+00 -8.648782548868425568e-01
-1.640273704789833698e+00 -8.613606263292714615e-01
-1.636363636363636243e+00 -8.578860115669992847e-01
-1.632453567937438788e+00 -8.544523606757692402e-01
-1.628543499511241333e+00 -8.510577790613916838e-01
-1.624633431085043878e+00 -8.477005114922447904e-01
-1.620723362658846423e+00 -8.443789281808782299e-01
-1.616813294232648968e+00 -8.410915126022806554e-01
-1.612903225806451513e+00 -8.378368507911677643e-01
-1.608993157380254058e+00 -8.346136219046182969e-01
-1.605083088954056603e+00 -8.314205898719448928e-01
-1.601173020527859148e+00 -8.282565959825577417e-01
-1.597262952101661693e+00 -8.251205522862129493e-01
-1.593352883675464238e+00 -8.220114356994356886e-01
-1.589442815249266783e+00 -8.189282827279316113e-01
-1.585532746823069328e+00 -8.158701847281126796e-01
-1.581622678396871873e+00 -8.128362836419300574e-01
-1.577712609970674418e+00 -8.098257681485228066e-01
-1.573802541544476963e+00 -8.068378701839480360e-01
-1.569892473118279508e+00 -8.038718617868929606e-01
-1.565982404692082053e+00 -8.009270522338109988e-01
-1.562072336265884598e+00 -7.980027854316936731e-01
-1.558162267839687143e+00 -7.950984375407181837e-01
-1.554252199413489688e+00 -7.922134148024869704e-01
-1.550342130987292233e+00 -7.893471515525520843e-01
-1.546432062561094778e+00 -7.864991083984618214e-01
-1.542521994134897323e+00 -7.836687705468079468e-01
-1.538611925708699868e+00 -7.808556462646412122e-01
-1.534701857282502413e+00 -7.780592654623068594e-01
