x	y
8.660254037844385966e-01 1.432759909098055839e+00
8.671338833506316846e-01 1.434112341177677719e+00
8.682423629168248835e-01 1.435445996555578807e+00
8.693508424830179715e-01 1.436767581894879742e+00
8.704593220492110595e-01 1.438079490383280756e+00
8.715678016154041474e-01 1.439383105091954773e+00
8.726762811815973464e-01 1.440679359163381967e+00
8.737847607477904344e-01 1.441968937604044543e+00
8.748932403139835223e-01 1.443252371128989520e+00
8.760017198801767213e-01 1.444530086691982795e+00
8.771101994463698093e-01 1.445802437473986846e+00
8.782186790125628972e-01 1.447069721970784650e+00
8.793271585787559852e-01 1.448332196803493899e+00
8.804356381449491842e-01 1.449590085681794482e+00
8.815441177111422721e-01 1.450843585889795895e+00
8.826525972773353601e-01 1.452092873111378690e+00
8.837610768435285591e-01 1.453338105104836853e+00
8.848695564097216471e-01 1.454579424557407963e+00
8.859780359759147350e-01 1.455816961341079185e+00
8.870865155421078230e-01 1.457050834322100474e+00
8.881949951083010220e-01 1.458281152831716776e+00
8.893034746744941099e-01 1.459508017875571273e+00
8.904119542406871979e-01 1.460731523138623977e+00
8.915204338068803969e-01 1.461951755828007071e+00
8.926289133730734848e-01 1.463168797385955067e+00
8.937373929392665728e-01 1.464382724097479826e+00
8.948458725054596608e-01 1.465593607611973548e+00
8.959543520716528597e-01 1.466801515393799882e+00
8.970628316378459477e-01 1.468006511113852497e+00
8.981713112040390357e-01 1.469208654991659424e+00
8.992797907702322346e-01 1.470408004095789645e+00
9.003882703364253226e-01 1.471604612608880203e+00
9.014967499026184106e-01 1.472798532062463028e+00
9.026052294688114985e-01 1.473989811545880713e+00
9.037137090350046975e-01 1.475178497892856377e+00
9.048221886011977855e-01 1.476364635848695483e+00
9.059306681673908734e-01 1.477548268220635563e+00
9.070391477335840724e-01 1.478729436013465737e+00
9.081476272997771604e-01 1.479908178552216791e+00
9.092561068659702483e-01 1.481084533593473473e+00
9.103645864321633363e-01 1.482258537426621503e+00
9.114730659983565353e-01 1.483430224966177713e+00
9.125815455645496233e-01 1.484599629836181212e+00
9.136900251307427112e-01 1.485766784447511313e+00
9.147985046969359102e-01 1.486931720068866536e+00
9.159069842631289982e-01 1.488094466892065926e+00
9.170154638293220861e-01 1.489255054092239572e+00
9.181239433955151741e-01 1.490413509883410814e+00
9.192324229617083731e-01 1.491569861569917554e+00
9.203409025279014610e-01 1.492724135594061474e+00
9.214493820940945490e-01 1.493876357580335101e+00
9.225578616602877480e-01 1.495026552376536699e+00
9.236663412264808359e-01 1.496174744092047204e+00
9.247748207926739239e-01 1.497320956133519676e+00
9.258833003588670119e-01 1.498465211238197536e+00
9.269917799250602108e-01 1.499607531505064095e+00
9.281002594912532988e-01 1.500747938423999228e+00
9.292087390574463868e-01 1.501886452903105962e+00
9.303172186236394747e-01 1.503023095294349964e+00
9.314256981898326737e-01 1.504157885417645835e+00
9.325341777560257617e-01 1.505290842583506983e+00
9.336426573222188496e-01 1.506421985614369019e+00
9.347511368884120486e-01 1.507551332864685678e+00
9.358596164546051366e-01 1.508678902239880992e+00
9.369680960207982245e-01 1.509804711214249862e+00
9.380765755869913125e-01 1.510928776847870747e+00
9.391850551531845115e-01 1.512051115802607759e+00
9.402935347193775995e-01 1.513171744357257431e+00
9.414020142855706874e-01 1.514290678421903236e+00
9.425104938517638864e-01 1.515407933551528252e+00
9.436189734179569744e-01 1.516523524958932834e+00
9.447274529841500623e-01 1.517637467527006345e+00
9.458359325503431503e-01 1.518749775820390502e+00
9.469444121165363493e-01 1.519860464096574049e+00
9.480528916827294372e-01 1.520969546316452092e+00
9.491613712489225252e-01 1.522077036154386498e+00
9.502698508151157242e-01 1.523182947007793775e+00
9.513783303813088121e-01 1.524287292006289984e+00
9.524868099475019001e-01 1.525390084020419534e+00
9.535952895136949881e-01 1.526491335669988514e+00
9.547037690798881870e-01 1.527591059332031209e+00
9.558122486460812750e-01 1.528689267148422681e+00
9.569207282122743630e-01 1.529785971033166048e+00
