x	y
0.000000000000000000e+00 4.990677342234757230e-01
1.955034213098729226e-03 4.990696311165335186e-01
3.910068426197458452e-03 4.990753218817441383e-01
5.865102639296187678e-03 4.990848067772281071e-01
7.820136852394916904e-03 4.990980862332187740e-01
9.775171065493646130e-03 4.991151608521112726e-01
1.173020527859237536e-02 4.991360314085286354e-01
1.368523949169110458e-02 4.991606988494108887e-01
1.564027370478983381e-02 4.991891642941207463e-01
1.759530791788856130e-02 4.992214290345698968e-01
1.955034213098729226e-02 4.992574945353638327e-01
2.150537634408602322e-02 4.992973624339681060e-01
2.346041055718475071e-02 4.993410345408922923e-01
2.541544477028347820e-02 4.993885128398934392e-01
2.737047898338220916e-02 4.994397994882012748e-01
2.932551319648094013e-02 4.994948968167600700e-01
3.128054740957966762e-02 4.995538073304927607e-01
3.323558162267839511e-02 4.996165337085833325e-01
3.519061583577712260e-02 4.996830788047801342e-01
3.714565004887585703e-02 4.997534456477170650e-01
3.910068426197458452e-02 4.998276374412575773e-01
4.105571847507331201e-02 4.999056575648567757e-01
4.301075268817204644e-02 4.999875095739434450e-01
4.496578690127077393e-02 5.000731972003240600e-01
4.692082111436950143e-02 5.001627243526042266e-01
4.887585532746822892e-02 5.002560951166339365e-01
5.083088954056695641e-02 5.003533137559705857e-01
5.278592375366569084e-02 5.004543847123623657e-01
5.474095796676441833e-02 5.005593126062560794e-01
5.669599217986314582e-02 5.006681022373200562e-01
5.865102639296188025e-02 5.007807585849928245e-01
6.060606060606060774e-02 5.008972868090498798e-01
6.256109481915933523e-02 5.010176922501927699e-01
6.451612903225806273e-02 5.011419804306591619e-01
6.647116324535679022e-02 5.012701570548537822e-01
6.842619745845551771e-02 5.014022280100017825e-01
7.038123167155424520e-02 5.015381993668235339e-01
7.233626588465298657e-02 5.016780773802292925e-01
7.429130009775171406e-02 5.018218684900400683e-01
7.624633431085044155e-02 5.019695793217245905e-01
7.820136852394916904e-02 5.021212166871645843e-01
8.015640273704789653e-02 5.022767875854379227e-01
8.211143695014662403e-02 5.024362992036274234e-01
8.406647116324535152e-02 5.025997589176494085e-01
8.602150537634409289e-02 5.027671742931087984e-01
8.797653958944282038e-02 5.029385530861725240e-01
8.993157380254154787e-02 5.031139032444721382e-01
9.188660801564027536e-02 5.032932329080245237e-01
9.384164222873900285e-02 5.034765504101794686e-01
9.579667644183773034e-02 5.036638642785903341e-01
9.775171065493645783e-02 5.038551832362065941e-01
9.970674486803518533e-02 5.040505162022973495e-01
1.016617790811339128e-01 5.042498722934899424e-01
1.036168132942326542e-01 5.044532608248402106e-01
1.055718475073313817e-01 5.046606913109268344e-01
1.075268817204301092e-01 5.048721734669675554e-01
1.094819159335288367e-01 5.050877172099652590e-01
1.114369501466275642e-01 5.053073326598755965e-01
1.133919843597262916e-01 5.055310301408044715e-01
1.153470185728250191e-01 5.057588201822289520e-01
1.173020527859237605e-01 5.059907135202458273e-01
1.192570869990224880e-01 5.062267210988482535e-01
1.212121212121212155e-01 5.064668540712250477e-01
1.231671554252199430e-01 5.067111238010946206e-01
1.251221896383186705e-01 5.069595418640576723e-01
1.270772238514173980e-01 5.072121200489871917e-01
1.290322580645161255e-01 5.074688703594389949e-01
1.309872922776148529e-01 5.077298050150954589e-01
1.329423264907135804e-01 5.079949364532364564e-01
1.348973607038123079e-01 5.082642773302394890e-01
1.368523949169110354e-01 5.085378405231110177e-01
1.388074291300097629e-01 5.088156391310452165e-01
1.407624633431084904e-01 5.090976864770152543e-01
1.427174975562072456e-01 5.093839961093933333e-01
1.446725317693059731e-01 5.096745818036056974e-01
1.466275659824047006e-01 5.099694575638120675e-01
1.485826001955034281e-01 5.102686376246242661e-01
1.505376344086021556e-01 5.105721364528523765e-01
1.524926686217008831e-01 5.108799687492862063e-01
1.544477028347996106e-01 5.111921494505067276e-01
1.564027370478983381e-01 5.115086937307351533e-01
1.583577712609970656e-01 5.118296170037111015e-01
1.603128054740957931e-01 5.121549349246096172e-01
1.622678396871945206e-01 5.124846633919902805e-01
1.642228739002932481e-01 5.128188185497820628e-01
1.661779081133919755e-01 5.131574167893035998e-01
1.681329423264907030e-01 5.135004747513212120e-01
1.700879765395894305e-01 5.138480093281421190e-01
1.720430107526881858e-01 5.142000376657444027e-01
1.739980449657869133e-01 5.145565771659463827e-01
1.759530791788856408e-01 5.149176454886138510e-01
1.779081133919843682e-01 5.152832605539034994e-01
1.798631476050830957e-01 5.156534405445506453e-01
1.818181818181818232e-01 5.160282039081904859e-01
1.837732160312805507e-01 5.164075693597248717e-01
1.857282502443792782e-01 5.167915558837294920e-01
1.876832844574780057e-01 5.171801827368990301e-01
1.896383186705767332e-01 5.175734694505377265e-01
1.915933528836754607e-01 5.179714358330933521e-01
1.935483870967741882e-01 5.183741019727312604e-01
1.955034213098729157e-01 5.187814882399542915e-01
1.974584555229716432e-01 5.191936152902694168e-01
1.994134897360703707e-01 5.196105040668972386e-01
2.013685239491690981e-01 5.200321758035260089e-01
2.033235581622678256e-01 5.204586520271177186e-01
