x	y
1.252564728871519151e+00 2.437216389568606978e+00
1.253541768441621906e+00 2.370683330276908141e+00
1.254518808011724440e+00 2.320525031527803872e+00
1.255495847581826974e+00 2.278832826503873310e+00
1.256472887151929729e+00 2.242548075775455452e+00
1.257449926722032263e+00 2.210103207741942910e+00
1.258426966292134797e+00 2.180567382346433547e+00
1.259404005862237330e+00 2.153334259383860694e+00
1.260381045432339864e+00 2.127982745479379378e+00
1.261358085002442619e+00 2.104206281412058566e+00
1.262335124572545153e+00 2.081773458806559063e+00
1.263312164142647687e+00 2.060504506503195721e+00
1.264289203712750442e+00 2.040256467168479748e+00
1.265266243282852976e+00 2.020913433993845487e+00
1.266243282852955510e+00 2.002379883973067987e+00
1.267220322423058043e+00 1.984575985806191989e+00
1.268197361993160577e+00 1.967434211415149736e+00
1.269174401563263332e+00 1.950896833964238963e+00
1.270151441133365866e+00 1.934914044387561649e+00
1.271128480703468400e+00 1.919442509216333859e+00
1.272105520273571155e+00 1.904444249548088219e+00
1.273082559843673689e+00 1.889885757851646808e+00
1.274059599413776223e+00 1.875737293696898567e+00
1.275036638983878756e+00 1.861972316004335548e+00
1.276013678553981290e+00 1.848567020798336236e+00
1.276990718124084045e+00 1.835499961447172312e+00
1.277967757694186579e+00 1.822751734081920150e+00
1.278944797264289113e+00 1.810304715021264332e+00
1.279921836834391868e+00 1.798142840064717474e+00
1.280898876404494402e+00 1.786251417772442673e+00
1.281875915974596936e+00 1.774616970545689787e+00
1.282852955544699469e+00 1.763227098610060439e+00
1.283829995114802003e+00 1.752070362992027563e+00
1.284807034684904758e+00 1.741136184344207027e+00
1.285784074255007292e+00 1.730414755072256172e+00
1.286761113825109826e+00 1.719896962686333852e+00
1.287738153395212581e+00 1.709574322672869240e+00
1.288715192965315115e+00 1.699438919480008581e+00
1.289692232535417649e+00 1.689483354449256902e+00
1.290669272105520182e+00 1.679700699719444801e+00
1.291646311675622716e+00 1.670084457286399315e+00
1.292623351245725472e+00 1.660628522530552598e+00
1.293600390815828005e+00 1.651327151630550105e+00
1.294577430385930539e+00 1.642174932368442475e+00
1.295554469956033294e+00 1.633166757904725763e+00
1.296531509526135828e+00 1.624297803162106257e+00
1.297508549096238362e+00 1.615563503507596810e+00
1.298485588666340895e+00 1.606959535465360966e+00
1.299462628236443429e+00 1.598481799228698153e+00
1.300439667806546185e+00 1.590126402770203118e+00
1.301416707376648718e+00 1.581889647375111174e+00
1.302393746946751252e+00 1.573768014445036334e+00
1.303370786516854007e+00 1.565758153438362887e+00
1.304347826086956541e+00 1.557856870829851026e+00
1.305324865657059075e+00 1.550061119986073876e+00
1.306301905227161608e+00 1.542367991865536414e+00
1.307278944797264142e+00 1.534774706462787019e+00
1.308255984367366898e+00 1.527278604925057515e+00
1.309233023937469431e+00 1.519877142277902271e+00
1.310210063507571965e+00 1.512567880703297174e+00
1.311187103077674720e+00 1.505348483319759456e+00
1.312164142647777254e+00 1.498216708419421117e+00
1.313141182217879788e+00 1.491170404121626047e+00
1.314118221787982321e+00 1.484207503406892226e+00
1.315095261358084855e+00 1.477326019498617971e+00
1.316072300928187611e+00 1.470524041563256556e+00
1.317049340498290144e+00 1.463799730702499469e+00
1.318026380068392678e+00 1.457151316213574299e+00
1.319003419638495433e+00 1.450577092096086762e+00
1.319980459208597967e+00 1.444075413785784301e+00
1.320957498778700501e+00 1.437644695097489933e+00
1.321934538348803034e+00 1.431283405361071015e+00
1.322911577918905568e+00 1.424990066735731808e+00
1.323888617489008324e+00 1.418763251689238114e+00
1.324865657059110857e+00 1.412601580629883724e+00
1.325842696629213391e+00 1.406503719679989217e+00
1.326819736199316146e+00 1.400468378580772111e+00
1.327796775769418680e+00 1.394494308719204989e+00
1.328773815339521214e+00 1.388580301268295791e+00
1.329750854909623747e+00 1.382725185432921666e+00
1.330727894479726281e+00 1.376927826793978626e+00
1.331704934049829037e+00 1.371187125744199209e+00
1.332681973619931570e+00 1.365502016009503272e+00
1.333659013190034104e+00 1.359871463250223345e+00
1.334636052760136860e+00 1.354294463737010901e+00
1.335613092330239393e+00 1.348770043096593207e+00
1.336590131900341927e+00 1.343297255122921419e+00
1.337567171470444460e+00 1.337875180649602758e+00
1.338544211040546994e+00 1.332502926479790517e+00
1.339521250610649750e+00 1.327179624369988264e+00
1.340498290180752283e+00 1.321904430064492653e+00
1.341475329750854817e+00 1.316676522377408620e+00
1.342452369320957573e+00 1.311495102319418571e+00
1.343429408891060106e+00 1.306359392266659647e+00
1.344406448461162640e+00 1.301268635169235743e+00
1.345383488031265173e+00 1.296222093797111841e+00
1.346360527601367707e+00 1.291219050021218839e+00
1.347337567171470463e+00 1.286258804127797584e+00
1.348314606741572996e+00 1.281340674164126447e+00
1.349291646311675530e+00 1.276463995313870337e+00
1.350268685881778286e+00 1.271628119300449278e+00
1.351245725451880819e+00 1.266832413816905589e+00
1.352222765021983353e+00 1.262076261980814795e+00
1.353199804592085886e+00 1.257359061812950651e+00
1.354176844162188420e+00 1.252680225738414199e+00
1.355153883732291176e+00 1.248039180109072888e+00
1.356130923302393709e+00 1.243435364746206861e+00
1.357107962872496243e+00 1.238868232502310374e+00
1.358085002442598999e+00 1.234337248841096191e+00
1.359062042012701532e+00 1.229841891434782175e+00
1.360039081582804066e+00 1.225381649777777415e+00
1.361016121152906599e+00 1.220956024815988972e+00
1.361993160723009133e+00 1.216564528590963867e+00
1.362970200293111889e+00 1.212206683898150450e+00
1.363947239863214422e+00 1.207882023958604556e+00
1.364924279433316956e+00 1.203590092103488773e+00
1.365901319003419712e+00 1.199330441470774389e+00
1.366878358573522245e+00 1.195102634713560708e+00
