x	y
1.021006350757205583e+00 9.700580426587348537e-01
1.021983390327308339e+00 9.660513915066215596e-01
1.022960429897410872e+00 9.616075406019923832e-01
1.023937469467513406e+00 9.567309693518064595e-01
1.024914509037615939e+00 9.514290383392838280e-01
1.025891548607718473e+00 9.457120623342130106e-01
1.026868588177821229e+00 9.395933136215531833e-01
1.027845627747923762e+00 9.330889491671828795e-01
1.028822667318026296e+00 9.262178590359877450e-01
1.029799706888129052e+00 9.190014379774230635e-01
1.030776746458231585e+00 9.114632867791706561e-01
1.031753786028334119e+00 9.036288543777032389e-01
1.032730825598436653e+00 8.955250353313130018e-01
1.033707865168539186e+00 8.871797397183992517e-01
1.034684904738641942e+00 8.786214535840571882e-01
1.035661944308744475e+00 8.698788076688241944e-01
1.036638983878847009e+00 8.609801704474112638e-01
1.037616023448949765e+00 8.519532787653006922e-01
1.038593063019052298e+00 8.428249159621977737e-01
1.039570102589154832e+00 8.336206437147529735e-01
1.040547142159257366e+00 8.243645902835239347e-01
1.041524181729359899e+00 8.150792946995758514e-01
1.042501221299462655e+00 8.057856038639533702e-01
1.043478260869565188e+00 7.965026176463130270e-01
1.044455300439667722e+00 7.872476758577957590e-01
1.045432340009770478e+00 7.780363803736644046e-01
1.046409379579873011e+00 7.688826455891281109e-01
1.047386419149975545e+00 7.597987706862725510e-01
1.048363458720078079e+00 7.507955277510800496e-01
1.049340498290180612e+00 7.418822604995495285e-01
1.050317537860283368e+00 7.330669891629671975e-01
1.051294577430385901e+00 7.243565178772675139e-01
1.052271617000488435e+00 7.157565416735146568e-01
1.053248656570591191e+00 7.072717508466008773e-01
1.054225696140693724e+00 6.989059310719987206e-01
1.055202735710796258e+00 6.906620581411099247e-01
1.056179775280898792e+00 6.825423865968750503e-01
1.057156814851001325e+00 6.745485318796498042e-01
1.058133854421104081e+00 6.666815458485584323e-01
1.059110893991206614e+00 6.589419857358714827e-01
1.060087933561309148e+00 6.513299767318687650e-01
1.061064973131411904e+00 6.438452684948794413e-01
1.062042012701514437e+00 6.364872859443281294e-01
1.063019052271616971e+00 6.292551747312534749e-01
1.063996091841719505e+00 6.221478417972940989e-01
1.064973131411822038e+00 6.151639914345431448e-01
1.065950170981924794e+00 6.083021572494733409e-01
1.066927210552027327e+00 6.015607304173909986e-01
1.067904250122129861e+00 5.949379845923156163e-01
1.068881289692232617e+00 5.884320978128237956e-01
1.069858329262335150e+00 5.820411717185587364e-01
1.070835368832437684e+00 5.757632483660086731e-01
1.071812408402540218e+00 5.695963249066023915e-01
1.072789447972642751e+00 5.635383663654833786e-01
1.073766487542745507e+00 5.575873167360848592e-01
1.074743527112848041e+00 5.517411085838944684e-01
1.075720566682950574e+00 5.459976713326807340e-01
1.076697606253053330e+00 5.403549383880593693e-01
1.077674645823155863e+00 5.348108532364835854e-01
1.078651685393258397e+00 5.293633746424957209e-01
1.079628724963360931e+00 5.240104810534199631e-01
1.080605764533463464e+00 5.187501743082847394e-01
1.081582804103566220e+00 5.135804827367397296e-01
1.082559843673668754e+00 5.084994637238704485e-01
1.083536883243771287e+00 5.035052058079729775e-01
1.084513922813874043e+00 4.985958303705649297e-01
1.085490962383976576e+00 4.937694929709198766e-01
1.086468001954079110e+00 4.890243843712231975e-01
1.087445041524181644e+00 4.843587312930297539e-01
1.088422081094284177e+00 4.797707969407931095e-01
1.089399120664386933e+00 4.752588813239898569e-01
