x	y
1.252564728871519151e+00 2.775304529460204783e+00
1.253541768441621906e+00 2.849254866894404437e+00
1.254518808011724440e+00 2.906830347905731582e+00
1.255495847581826974e+00 2.955939637714460666e+00
1.256472887151929729e+00 2.999641374295633600e+00
1.257449926722032263e+00 3.039503127937761562e+00
1.258426966292134797e+00 3.076455737528181800e+00
1.259404005862237330e+00 3.111105542244950506e+00
1.260381045432339864e+00 3.143873634578486342e+00
1.261358085002442619e+00 3.175066573007944815e+00
1.262335124572545153e+00 3.204915765309618081e+00
1.263312164142647687e+00 3.233600982186999317e+00
1.264289203712750442e+00 3.261265180660307461e+00
1.265266243282852976e+00 3.288024267367950948e+00
1.266243282852955510e+00 3.313973765289242923e+00
1.267220322423058043e+00 3.339193505840658105e+00
1.268197361993160577e+00 3.363751017360436357e+00
1.269174401563263332e+00 3.387704027088303427e+00
1.270151441133365866e+00 3.411102344638295314e+00
1.271128480703468400e+00 3.433989304171702450e+00
1.272105520273571155e+00 3.456402885428191407e+00
1.273082559843673689e+00 3.478376596921097352e+00
1.274059599413776223e+00 3.499940180208017448e+00
1.275036638983878756e+00 3.521120177641654525e+00
1.276013678553981290e+00 3.541940394616858168e+00
1.276990718124084045e+00 3.562422279331098895e+00
1.277967757694186579e+00 3.582585237365928599e+00
1.278944797264289113e+00 3.602446894262696819e+00
1.279921836834391868e+00 3.622023316229767254e+00
1.280898876404494402e+00 3.641329196863243745e+00
1.281875915974596936e+00 3.660378016067053597e+00
1.282852955544699469e+00 3.679182176070269872e+00
1.283829995114802003e+00 3.697753118451165832e+00
1.284807034684904758e+00 3.716101425312568374e+00
1.285784074255007292e+00 3.734236907155641383e+00
1.286761113825109826e+00 3.752168679529063855e+00
1.287738153395212581e+00 3.769905230158013598e+00
1.288715192965315115e+00 3.787454477959433685e+00
1.289692232535417649e+00 3.804823825111173896e+00
1.290669272105520182e+00 3.822020203148845940e+00
1.291646311675622716e+00 3.839050113906954387e+00
1.292623351245725472e+00 3.855919665992202816e+00
1.293600390815828005e+00 3.872634607370750714e+00
1.294577430385930539e+00 3.889200354563969952e+00
1.295554469956033294e+00 3.905622018874415957e+00
1.296531509526135828e+00 3.921904430003007480e+00
1.297508549096238362e+00 3.938052157368034933e+00
1.298485588666340895e+00 3.954069529393356763e+00
1.299462628236443429e+00 3.969960650997573115e+00
1.300439667806546185e+00 3.985729419484995706e+00
1.301416707376648718e+00 4.001379539013532494e+00
1.302393746946751252e+00 4.016914533792139252e+00
1.303370786516854007e+00 4.032337760141794014e+00
1.304347826086956541e+00 4.047652417537129566e+00
1.305324865657059075e+00 4.062861558732415723e+00
1.306301905227161608e+00 4.077968099062846186e+00
1.307278944797264142e+00 4.092974825001860495e+00
1.308255984367366898e+00 4.107884402046055428e+00
1.309233023937469431e+00 4.122699381991046685e+00
1.310210063507571965e+00 4.137422209654999072e+00
1.311187103077674720e+00 4.152055229100150235e+00
1.312164142647777254e+00 4.166600689397443880e+00
1.313141182217879788e+00 4.181060749974674806e+00
1.314118221787982321e+00 4.195437485584346149e+00
1.315095261358084855e+00 4.209732890923818971e+00
1.316072300928187611e+00 4.223948884937049897e+00
1.317049340498290144e+00 4.238087314824384499e+00
1.318026380068392678e+00 4.252149959784301991e+00
1.319003419638495433e+00 4.266138534508660207e+00
1.319980459208597967e+00 4.280054692451081166e+00
1.320957498778700501e+00 4.293900028886254994e+00
1.321934538348803034e+00 4.307676083776228459e+00
1.322911577918905568e+00 4.321384344458482296e+00
1.323888617489008324e+00 4.335026248169143948e+00
1.324865657059110857e+00 4.348603184413448730e+00
1.325842696629213391e+00 4.362116497194874043e+00
1.326819736199316146e+00 4.375567487112864029e+00
1.327796775769418680e+00 4.388957413338670399e+00
1.328773815339521214e+00 4.402287495477906099e+00
1.329750854909623747e+00 4.415558915327553180e+00
1.330727894479726281e+00 4.428772818534757683e+00
1.331704934049829037e+00 4.441930316164068415e+00
1.332681973619931570e+00 4.455032486179181461e+00
1.333659013190034104e+00 4.468080374844963565e+00
1.334636052760136860e+00 4.481074998054833891e+00
