x	y
0.000000000000000000e+00 9.997002696764449581e-02
9.770395701025891277e-04 9.997012183740508484e-02
1.954079140205178255e-03 9.997040644776084006e-02
2.931118710307767383e-03 9.997088080193357318e-02
3.908158280410356511e-03 9.997154490529321091e-02
4.885197850512945639e-03 9.997239876535783665e-02
5.862237420615534766e-03 9.997344239179382919e-02
6.839276990718123894e-03 9.997467579641632074e-02
7.816316560820713022e-03 9.997609899318934956e-02
8.793356130923302150e-03 9.997771199822638732e-02
9.770395701025891277e-03 9.997951482979064441e-02
1.074743527112848041e-02 9.998150750829579159e-02
1.172447484123106953e-02 9.998369005630636241e-02
1.270151441133365866e-02 9.998606249853839167e-02
1.367855398143624779e-02 9.998862486186026188e-02
1.465559355153883692e-02 9.999137717529325842e-02
1.563263312164142604e-02 9.999431947001254095e-02
1.660967269174401517e-02 9.999745177934797613e-02
1.758671226184660430e-02 1.000007741387850535e-01
1.856375183194919343e-02 1.000042865859658708e-01
1.954079140205178255e-02 1.000079891606902582e-01
2.051783097215437168e-02 1.000118819049168190e-01
2.149487054225696081e-02 1.000159648627641923e-01
2.247191011235954994e-02 1.000202380805122332e-01
2.344894968246213907e-02 1.000247016066033445e-01
2.442598925256472819e-02 1.000293554916438510e-01
2.540302882266731732e-02 1.000341997884054146e-01
2.638006839276990645e-02 1.000392345518264919e-01
2.735710796287249558e-02 1.000444598390139023e-01
2.833414753297508470e-02 1.000498757092445207e-01
2.931118710307767383e-02 1.000554822239667768e-01
3.028822667318026296e-02 1.000612794468025424e-01
3.126526624328285209e-02 1.000672674435488796e-01
3.224230581338544122e-02 1.000734462821799009e-01
3.321934538348803034e-02 1.000798160328485870e-01
3.419638495359061947e-02 1.000863767678889932e-01
3.517342452369320860e-02 1.000931285618180122e-01
3.615046409379579773e-02 1.001000714913377609e-01
3.712750366389838685e-02 1.001072056353375928e-01
3.810454323400097598e-02 1.001145310748962070e-01
3.908158280410356511e-02 1.001220478932842578e-01
4.005862237420615424e-02 1.001297561759664084e-01
4.103566194430874337e-02 1.001376560106040092e-01
4.201270151441133249e-02 1.001457474870573322e-01
4.298974108451392162e-02 1.001540306973882494e-01
4.396678065461651075e-02 1.001625057358628418e-01
4.494382022471909988e-02 1.001711726989540502e-01
4.592085979482168900e-02 1.001800316853444228e-01
4.689789936492427813e-02 1.001890827959288494e-01
4.787493893502686726e-02 1.001983261338174891e-01
4.885197850512945639e-02 1.002077618043387408e-01
4.982901807523204551e-02 1.002173899150420877e-01
5.080605764533463464e-02 1.002272105757013171e-01
5.178309721543722377e-02 1.002372238983174763e-01
5.276013678553981290e-02 1.002474299971221755e-01
5.373717635564240203e-02 1.002578289885808216e-01
5.471421592574499115e-02 1.002684209913958929e-01
5.569125549584758028e-02 1.002792061265102841e-01
5.666829506595016941e-02 1.002901845171108863e-01
5.764533463605275854e-02 1.003013562886319321e-01
5.862237420615534766e-02 1.003127215687586865e-01
5.959941377625793679e-02 1.003242804874310140e-01
6.057645334636052592e-02 1.003360331768471392e-01
6.155349291646311505e-02 1.003479797714673799e-01
6.253053248656570418e-02 1.003601204080179776e-01
6.350757205666829330e-02 1.003724552254951080e-01
6.448461162677088243e-02 1.003849843651687113e-01
6.546165119687347156e-02 1.003977079705865721e-01
6.643869076697606069e-02 1.004106261875784972e-01
6.741573033707864981e-02 1.004237391642604227e-01
6.839276990718123894e-02 1.004370470510386332e-01
6.936980947728382807e-02 1.004505500006141611e-01
7.034684904738641720e-02 1.004642481679870747e-01
7.132388861748900633e-02 1.004781417104610441e-01
7.230092818759159545e-02 1.004922307876476156e-01
7.327796775769418458e-02 1.005065155614710964e-01
7.425500732779677371e-02 1.005209961961730097e-01
7.523204689789936284e-02 1.005356728583168963e-01
7.620908646800195196e-02 1.005505457167930189e-01
7.718612603810454109e-02 1.005656149428233725e-01
7.816316560820713022e-02 1.005808807099664859e-01
7.914020517830971935e-02 1.005963431941224312e-01
8.011724474841230847e-02 1.006120025735379592e-01
8.109428431851489760e-02 1.006278590288117447e-01
8.207132388861748673e-02 1.006439127428992025e-01
8.304836345872007586e-02 1.006601639011183297e-01
8.402540302882266499e-02 1.006766126911545906e-01
8.500244259892525411e-02 1.006932593030665651e-01
8.597948216902784324e-02 1.007101039292915001e-01
8.695652173913043237e-02 1.007271467646507906e-01
8.793356130923302150e-02 1.007443880063555591e-01
8.891060087933561062e-02 1.007618278540124840e-01
8.988764044943819975e-02 1.007794665096297115e-01
9.086468001954078888e-02 1.007973041776223655e-01
9.184171958964337801e-02 1.008153410648189169e-01
9.281875915974596714e-02 1.008335773804668045e-01
9.379579872984855626e-02 1.008520133362389298e-01
9.477283829995114539e-02 1.008706491462393884e-01
9.574987787005373452e-02 1.008894850270101173e-01
9.672691744015632365e-02 1.009085211975369878e-01
9.770395701025891277e-02 1.009277578792561469e-01
9.868099658036150190e-02 1.009471952960607349e-01
9.965803615046409103e-02 1.009668336743072270e-01
1.006350757205666802e-01 1.009866732428221225e-01
1.016121152906692693e-01 1.010067142329086065e-01
1.025891548607718584e-01 1.010269568783534883e-01
1.035661944308744475e-01 1.010474014154338351e-01
1.045432340009770367e-01 1.010680480829240641e-01
1.055202735710796258e-01 1.010888971221029359e-01
1.064973131411822149e-01 1.011099487767606470e-01
1.074743527112848041e-01 1.011312032932059207e-01
1.084513922813873932e-01 1.011526609202734600e-01
1.094284318514899823e-01 1.011743219093310525e-01
1.104054714215925714e-01 1.011961865142871619e-01
1.113825109916951606e-01 1.012182549915983804e-01
