x	y	z	
2.420621733060900027e+01 8.258938863229250416e-01 2.214585193304806765e+01
2.435800308108883172e+01 7.738360308613195793e-01 2.155741763126264132e+01
2.449062070547096681e+01 7.276495700497798147e-01 2.098588954663278372e+01
2.460633560997116476e+01 6.877751196953223456e-01 2.043054889550199960e+01
2.470736824823265465e+01 6.544042045029745402e-01 1.989072557933036478e+01
2.479589412132597559e+01 6.274792580758258298e-01 1.936579818469563463e+01
2.487396372576832704e+01 6.067571496708578094e-01 1.885520593408375234e+01
2.494301651621259097e+01 5.922195008381807568e-01 1.835850338273170834e+01
2.500436744748788342e+01 5.838027569999927335e-01 1.787526584519012829e+01
2.505929533553394606e+01 5.813809173484720816e-01 1.740508649319599144e+01
2.510902041815502983e+01 5.847844748962924832e-01 1.694758056273509439e+01
2.515468609841142822e+01 5.938186577687352141e-01 1.650238727495159452e+01
2.519718193085033064e+01 6.084327916940366343e-01 1.606918246277368567e+01
2.523726835186936057e+01 6.286465287311744365e-01 1.564766112238968887e+01
2.527568896062773973e+01 6.544926503608675672e-01 1.523753232676316038e+01
2.531316862973698889e+01 6.860214071848917960e-01 1.483851990595447035e+01
2.535041385753861931e+01 7.233039924282397282e-01 1.445036330813002756e+01
2.538802116616259852e+01 7.665296235513346934e-01 1.407282474759267821e+01
2.542645129092782597e+01 8.160280466362366258e-01 1.370568558677957860e+01
2.546618975497160164e+01 8.721731471268332481e-01 1.334874689078685073e+01
2.550775858288276510e+01 9.353776462301054417e-01 1.300182997688108699e+01
2.555171630070182687e+01 1.006093100916366057e+00 1.266477641449782610e+01
2.559865811917025979e+01 1.084810588726023539e+00 1.233744851753030503e+01
2.564916222306747073e+01 1.172151936744394440e+00 1.201975331906451316e+01
2.570366545087449595e+01 1.268940689192292304e+00 1.171161129465567541e+01
2.576264592617066995e+01 1.376094871578984469e+00 1.141298319687287410e+01
2.582666759506039256e+01 1.494623962393608396e+00 1.112389108783131775e+01
2.589638022617295476e+01 1.625628893104826611e+00 1.084441833919316345e+01
2.597251941066278746e+01 1.770302048161331632e+00 1.057470963216628057e+01
2.605590656220936552e+01 1.929927264991636582e+00 1.031497095750490089e+01
2.614746112603922512e+01 2.105880558301008065e+00 1.006550476597955956e+01
2.624814871924817083e+01 2.299776297297024819e+00 9.826853636903218003e+00
2.635874772824019985e+01 2.513608244031403594e+00 9.599358437279059686e+00
2.648016765020299346e+01 2.749555525059405703e+00 9.383583417202773447e+00
2.661349755760302571e+01 3.009962274417078198e+00 9.180405856579309187e+00
2.676000609818607856e+01 3.297337633622253072e+00 8.991016065121963052e+00
2.692114149497703224e+01 3.614355751674132033e+00 8.816917382352869481e+00
2.709853154627947447e+01 3.963855785052525338e+00 8.659926177603340491e+00
2.729398362567638259e+01 4.348841897719198712e+00 8.522171850013112504e+00
2.750948468202969011e+01 4.772483261116995834e+00 8.406096828530859710e+00
2.774701084586175881e+01 5.236758679630701074e+00 8.315555957271820731e+00
2.800855353709677686e+01 5.745052332602312184e+00 8.254757268844612028e+00
2.829650485107472235e+01 6.304035080498932686e+00 8.226725818387516043e+00
2.861330754466353810e+01 6.919251261591044866e+00 8.236223027976324218e+00
2.896144870562050144e+01 7.595056337490333931e+00 8.289790809595828591e+00
2.934345975259122241e+01 8.334616893147725136e+00 8.395751565139642381e+00
2.976191643511111806e+01 9.139910636856260595e+00 8.564208186410420254e+00
3.021943883360479788e+01 1.001172640024986649e+01 8.807044055119945369e+00
3.071869135938495532e+01 1.094966413830129071e+01 9.137923042888401071e+00
3.126238275465433247e+01 1.195213492932581545e+01 9.572289511245410054e+00
3.185326609250444108e+01 1.301636097497882716e+01 1.012736831162938955e+01
3.249267614928917425e+01 1.413687855296738505e+01 1.081982918323332754e+01
3.317865382099575555e+01 1.530106464447196934e+01 1.166771078306158316e+01
3.391229718718324193e+01 1.649297535963935246e+01 1.269983243774465365e+01
3.469155534452531242e+01 1.768833222154620088e+01 1.393920087643994954e+01
3.551071646363602241e+01 1.885407896456822030e+01 1.540192961193653431e+01
