t	z
7.031756001832434322e-01 4.296006011746563047e+01
1.367343261277014221e+00 3.497477125159585398e+01
2.052139159663568080e+00 3.607130027076026835e+01
2.768144749423051110e+00 3.757888774030920587e+01
3.575663304646312213e+00 4.057251043942267899e+01
4.310882402363354515e+00 3.843342856134001551e+01
5.304168274312331732e+00 4.399397790710287381e+01
5.952785927247461473e+00 3.377301531624036812e+01
6.613117094570704069e+00 3.449140455674856298e+01
7.287000623052513504e+00 3.537332401876864196e+01
7.980547805499739411e+00 3.660137584155759072e+01
8.720538827235124302e+00 3.852466013103291687e+01
9.758245438101596392e+00 4.451392052790137654e+01
1.039964467780269075e+01 3.317863227076146160e+01
1.105068944349645221e+01 3.376994058954782929e+01
1.171117090238900715e+01 3.447761617127554956e+01
1.238450830617212262e+01 3.541063663128170447e+01
1.308089369237680444e+01 3.665587693794381607e+01
1.382400440420095578e+01 3.863463655445717393e+01
1.485346707013128764e+01 4.442378178632090879e+01
1.549591101863587994e+01 3.328367788968818530e+01
1.614867414564233172e+01 3.389662129353101250e+01
1.681087766174931630e+01 3.462525907932225522e+01
1.748839892204085800e+01 3.559699783293108766e+01
1.818921002610935034e+01 3.690295799582767700e+01
1.894340261627209543e+01 3.900704319490341732e+01
1.982758780075158711e+01 4.225187876421028932e+01
2.050613603811991936e+01 3.587869094573058248e+01
2.121718904649054593e+01 3.738574442642757845e+01
2.200438877087448475e+01 4.004692275364389786e+01
2.277114304916828758e+01 3.944486091366667324e+01
2.358477575544056037e+01 4.076307210661283875e+01
2.431125823972409705e+01 3.807948746849787369e+01
2.518960778581255511e+01 4.219454718288963591e+01
2.587076644884534460e+01 3.604901634109793918e+01
2.658621545245284779e+01 3.759307844652303032e+01
2.739256718486721809e+01 4.053434813747826837e+01
2.813068827186110354e+01 3.853822501476596329e+01
2.928396017533155771e+01 4.558758693797457795e+01
2.991387388595535413e+01 3.192935264325745948e+01
