x	y
4.309497761708287555e+01 3.585771267054377631e+01
3.480981042073676690e+01 3.726425476634432243e+01
3.585771267054377631e+01 3.977555191368954013e+01
3.726425476634432243e+01 4.016558286287281021e+01
3.977555191368954013e+01 3.919918222956585652e+01
4.016558286287281021e+01 4.168880204918720267e+01
3.919918222956585652e+01 3.676537714251644218e+01
4.168880204918720267e+01 3.881237772394014485e+01
3.676537714251644218e+01 4.308765461635956484e+01
3.881237772394014485e+01 3.489778820325553710e+01
4.308765461635956484e+01 3.589892893701921395e+01
3.489778820325553710e+01 3.734840899977978523e+01
3.589892893701921395e+01 4.001962794129005374e+01
3.734840899977978523e+01 3.945739871337862326e+01
4.001962794129005374e+01 4.074991587524568359e+01
3.945739871337862326e+01 3.814310290288604932e+01
4.074991587524568359e+01 4.218702735877416643e+01
3.814310290288604932e+01 3.607521860076798959e+01
4.218702735877416643e+01 3.757643832057304678e+01
3.607521860076798959e+01 4.056713040593481168e+01
3.757643832057304678e+01 3.844177975967862437e+01
4.056713040593481168e+01 4.407782400834858549e+01
3.844177975967862437e+01 3.369126298270838049e+01
4.407782400834858549e+01 3.437508574873153577e+01
3.369126298270838049e+01 3.521831886744914897e+01
3.437508574873153577e+01 3.638034621117471090e+01
3.521831886744914897e+01 3.814834336052521024e+01
3.638034621117471090e+01 4.237975396258840988e+01
3.814834336052521024e+01 3.580844241400934180e+01
4.237975396258840988e+01 3.719494077951057420e+01
3.580844241400934180e+01 3.967128759752397826e+01
3.719494077951057420e+01 4.026536655984513402e+01
3.967128759752397826e+01 3.906466608849162725e+01
4.026536655984513402e+01 4.189437682207085345e+01
3.906466608849162725e+01 3.640062032092880884e+01
4.189437682207085345e+01 3.817769055058409577e+01
3.640062032092880884e+01 4.233208431643808467e+01
3.817769055058409577e+01 3.588462352651777110e+01
4.233208431643808467e+01 3.729241941057900789e+01
3.588462352651777110e+01 3.985723080529751883e+01
3.729241941057900789e+01 3.988210089151856863e+01
3.985723080529751883e+01 3.982878667834135911e+01
3.988210089151856863e+01 3.981842921813768044e+01
3.982878667834135911e+01 3.990297882113853234e+01
3.981842921813768044e+01 3.983723784677628288e+01
3.990297882113853234e+01 3.986464407771933338e+01
3.983723784677628288e+01 3.973010493586470204e+01
3.986464407771933338e+01 4.024292621251277069e+01
3.973010493586470204e+01 3.909770501959286548e+01
4.024292621251277069e+01 4.186323856626682982e+01
3.909770501959286548e+01 3.649335092823135795e+01
4.186323856626682982e+01 3.835510286210860897e+01
3.649335092823135795e+01 4.322982321916554582e+01
3.835510286210860897e+01 3.472801031394917004e+01
4.322982321916554582e+01 3.568468761194507266e+01
3.472801031394917004e+01 3.701482632942215645e+01
3.568468761194507266e+01 3.922637199820636056e+01
3.701482632942215645e+01 4.135695459149076925e+01
3.922637199820636056e+01 3.724496284988367023e+01
4.135695459149076925e+01 3.982882130061739900e+01
3.724496284988367023e+01 3.998769396153384292e+01
3.982882130061739900e+01 3.959215967446316853e+01
3.998769396153384292e+01 4.034097705250696464e+01
3.959215967446316853e+01 3.882275383758067022e+01
4.034097705250696464e+01 4.296006011746563047e+01
3.882275383758067022e+01 3.497477125159585398e+01
4.296006011746563047e+01 3.607130027076026835e+01
3.497477125159585398e+01 3.757888774030920587e+01
3.607130027076026835e+01 4.057251043942267899e+01
3.757888774030920587e+01 3.843342856134001551e+01
4.057251043942267899e+01 4.399397790710287381e+01
3.843342856134001551e+01 3.377301531624036812e+01
4.399397790710287381e+01 3.449140455674856298e+01
3.377301531624036812e+01 3.537332401876864196e+01
3.449140455674856298e+01 3.660137584155759072e+01
3.537332401876864196e+01 3.852466013103291687e+01
3.660137584155759072e+01 4.451392052790137654e+01
3.852466013103291687e+01 3.317863227076146160e+01
4.451392052790137654e+01 3.376994058954782929e+01
3.317863227076146160e+01 3.447761617127554956e+01
3.376994058954782929e+01 3.541063663128170447e+01
3.447761617127554956e+01 3.665587693794381607e+01
3.541063663128170447e+01 3.863463655445717393e+01
