x	z
1.357181359662519426e+01 3.462654837065564095e+01
1.343663213659245415e+01 3.533654677217202789e+01
1.320972529586733657e+01 3.586171377217608125e+01
1.289575290434625643e+01 3.619647384134371748e+01
1.250228750652953558e+01 3.634361518789715717e+01
1.203923750530274717e+01 3.631479969918874673e+01
1.151793480580499285e+01 3.612785606676475680e+01
1.095209375269756436e+01 3.579969628377212132e+01
1.035479315396451661e+01 3.534894327413822879e+01
9.738283338160508507e+00 3.479615778934812909e+01
9.113986154410815388e+00 3.416383840844454767e+01
8.492494972411321896e+00 3.347642153802785714e+01
7.883576695103811538e+00 3.275998477636514394e+01
7.295606996332092642e+00 3.202597565347127073e+01
6.734194865836625077e+00 3.127994930404768326e+01
6.203627524027286455e+00 3.053054892660490793e+01
5.707226654823562839e+00 2.978480353743907472e+01
5.247348405654550518e+00 2.904812797063190288e+01
4.825383387458954232e+00 2.832432287805069393e+01
4.441756674685086281e+00 2.761557472934835289e+01
4.095845512126499166e+00 2.692290316395548899e+01
3.786228622863830662e+00 2.624724170534830847e+01
3.511448185470126049e+00 2.558887946269332403e+01
3.269930763324270462e+00 2.494796718557529758e+01
3.059981903456732155e+00 2.432453695436988994e+01
2.879786136549561171e+00 2.371850218024365375e+01
2.727406976936394223e+00 2.312965760515405833e+01
2.600778431718861139e+00 2.255768680467651066e+01
2.497836013505306596e+00 2.200238026416514714e+01
2.417277741394509682e+00 2.146357306456880210e+01
2.357965170664650056e+00 2.094112322820636152e+01
2.318750576060931490e+00 2.043495959564963727e+01
2.298476951795579204e+00 1.994508182572334576e+01
2.295978011547839870e+00 1.947156039550512574e+01
2.310078188463982052e+00 1.901453660032551340e+01
2.339643827132005693e+00 1.857423509634945447e+01
2.384419781234057290e+00 1.815105473166080685e+01
2.444478789723126599e+00 1.774537019134244176e+01
2.519859135755329049e+00 1.735770744181118630e+01
2.610650478050508649e+00 1.698879415802437265e+01
2.716993850892235773e+00 1.663955972347984869e+01
2.839081664127808935e+00 1.631113523021595313e+01
2.977157703168253899e+00 1.600485347881155818e+01
3.131563359837854055e+00 1.572230895817032525e+01
3.303184628077906471e+00 1.546554283505129490e+01
3.493048360913746819e+00 1.523647928090035997e+01
3.702175652338807854e+00 1.503754809154390770e+01
3.931613915410846261e+00 1.487178993443365371e+01
4.182436882251939991e+00 1.474285634864664729e+01
4.455744604048497592e+00 1.465500974488525543e+01
4.752663451051244436e+00 1.461312340547718058e+01
5.074346112575234713e+00 1.462268148437545179e+01
5.421971596999842546e+00 1.468977900715842466e+01
5.796420049612156511e+00 1.482058131195723760e+01
6.198021476821365283e+00 1.502179851747342809e+01
6.628196642982099540e+00 1.530381530904470289e+01
7.087536404294958459e+00 1.567655758204656280e+01
7.575632690533158353e+00 1.614916292997967773e+01
8.091078505042528235e+00 1.672998064446989019e+01
8.631467924741532016e+00 1.742657171526823490e+01
9.193396100121237424e+00 1.824570883025090140e+01
9.772459255245335541e+00 1.919337637541925901e+01
1.036325600186997420e+01 2.027476110525071462e+01
1.095910840506846462e+01 2.148974188631736837e+01
1.154992470674673477e+01 2.282981964045281842e+01
1.212392775635940190e+01 2.428104058248488428e+01
1.266851122719872613e+01 2.582265491473455654e+01
1.317023961639461582e+01 2.742711682701603593e+01
1.361484824491462575e+01 2.906008449663668358e+01
1.398724325756395537e+01 3.068042008839707080e+01
1.427150162298545233e+01 3.224018975459094349e+01
1.445451377475064803e+01 3.368515248135526008e+01
1.452768426877734420e+01 3.496892746702100396e+01
1.448393402370241390e+01 3.605766761318448488e+01
1.432094295175394727e+01 3.692666865093165995e+01
1.404115720464611883e+01 3.756036481491881318e+01
1.365178917357919097e+01 3.795232884337254120e+01
1.316481748923951045e+01 3.810527197808977462e+01
1.259698702179950480e+01 3.803104396443777802e+01
1.196336063287887619e+01 3.775385408715999347e+01
1.127409144364354532e+01 3.730681985330313211e+01
1.054736818783157659e+01 3.671876431036391608e+01
9.799924505958951926e+00 3.601892183560481442e+01
9.046843020218155118e+00 3.523704804193898354e+01
8.301555334478187831e+00 3.440341977793026729e+01
7.575833118819161882e+00 3.354804393634495341e+01
6.879045194731086887e+00 3.268380143819251060e+01
6.217665697408060410e+00 3.181930886647596779e+01
5.596533292589445097e+00 3.096392502261186053e+01
5.018989290673419035e+00 3.012447896271973136e+01
4.486877646716971313e+00 2.930526999762212625e+01
4.000565222379449892e+00 2.850819385102348136e+01
3.559230251550714819e+00 2.773434029091108144e+01
3.161268286945180694e+00 2.698387678985465499e+01
2.804713139853414638e+00 2.625650997837525935e+01
2.487286657616830876e+00 2.555168213515464615e+01
2.206398723627696512e+00 2.486857118703528613e+01
1.959160819090347339e+00 2.420612636248773342e+01
1.742735313776688999e+00 2.356340440679327131e+01
1.554541378261752982e+00 2.293952641586041707e+01
1.392042614879593021e+00 2.233365625958087719e+01
1.252735386080733981e+00 2.174501388534849866e+01
1.134148814432169861e+00 2.117287531805928680e+01
1.033967613223055526e+00 2.061658745171622087e+01
9.504148489956949497e-01 2.007560015299619138e+01
8.818890622961590431e-01 1.954940831127328593e+01
8.268596546123427871e-01 1.903754048594637283e+01
7.838673081209162063e-01 1.853955897734705971e+01
7.515275992184184961e-01 1.805506052295371333e+01
7.287559717375594603e-01 1.758369542984170408e+01
7.148569223378240522e-01 1.712514667692618886e+01
7.091997923351028854e-01 1.667911625334820513e+01
7.111953758660081171e-01 1.624532918802801973e+01
7.202959198878742253e-01 1.582353354966514658e+01
