x	y
3.628733703838186386e+01 3.799504024095706001e+01
3.799504024095706001e+01 4.163557591768154964e+01
4.163557591768154964e+01 3.684299774143223516e+01
3.684299774143223516e+01 3.894802014580669436e+01
3.894802014580669436e+01 4.245463228941385836e+01
4.245463228941385836e+01 3.568622998856596240e+01
3.568622998856596240e+01 3.706405374714826451e+01
3.706405374714826451e+01 3.933646866857117175e+01
3.933646866857117175e+01 4.118778327216421076e+01
4.118778327216421076e+01 3.747537801157424298e+01
3.747537801157424298e+01 4.029843164532813660e+01
4.029843164532813660e+01 3.889097512966309012e+01
3.889097512966309012e+01 4.265778031837864148e+01
4.265778031837864148e+01 3.545857628104209880e+01
3.545857628104209880e+01 3.669132543134845292e+01
3.669132543134845292e+01 3.865188252837730687e+01
3.865188252837730687e+01 4.494593282522561850e+01
4.494593282522561850e+01 3.265837110871333238e+01
3.265837110871333238e+01 3.317167190958119960e+01
3.317167190958119960e+01 3.376087505684257906e+01
3.376087505684257906e+01 3.447918115144638307e+01
3.447918115144638307e+01 3.535010145766702294e+01
3.535010145766702294e+01 3.657184862161298611e+01
3.657184862161298611e+01 3.845563791039327839e+01
3.845563791039327839e+01 4.368345391265420119e+01
4.368345391265420119e+01 3.415637588387070167e+01
3.415637588387070167e+01 3.497403061682787495e+01
3.497403061682787495e+01 3.602950095046691814e+01
3.602950095046691814e+01 3.756903070015052037e+01
3.756903070015052037e+01 4.046933773258361811e+01
4.046933773258361811e+01 3.869006273981096911e+01
3.869006273981096911e+01 4.410746328964011553e+01
4.410746328964011553e+01 3.363749498837485419e+01
3.363749498837485419e+01 3.433374149529403496e+01
3.433374149529403496e+01 3.518236397517721770e+01
3.518236397517721770e+01 3.634343068245213004e+01
3.634343068245213004e+01 3.806658480227729058e+01
3.806658480227729058e+01 4.186829105251005956e+01
4.186829105251005956e+01 3.646362451213519762e+01
3.646362451213519762e+01 3.824479158953939617e+01
3.824479158953939617e+01 4.254167072115262016e+01
4.254167072115262016e+01 3.558862071141963668e+01
3.558862071141963668e+01 3.689148832156288194e+01
3.689148832156288194e+01 3.904309791514310746e+01
3.904309791514310746e+01 4.219114166455918280e+01
4.219114166455918280e+01 3.598799808332017847e+01
3.598799808332017847e+01 3.749197948799763935e+01
3.749197948799763935e+01 4.033781640827763226e+01
4.033781640827763226e+01 3.892923187203273727e+01
3.892923187203273727e+01 4.251534167483811189e+01
4.251534167483811189e+01 3.564578501619011774e+01
3.564578501619011774e+01 3.698198429301955059e+01
3.698198429301955059e+01 3.915334202129037777e+01
3.915334202129037777e+01 4.173780650686664018e+01
4.173780650686664018e+01 3.668712898165141922e+01
3.668712898165141922e+01 3.870605076359385066e+01
3.870605076359385066e+01 4.420918159085432819e+01
4.420918159085432819e+01 3.348815307039971145e+01
3.348815307039971145e+01 3.415003952907267148e+01
3.415003952907267148e+01 3.495093776821072140e+01
3.495093776821072140e+01 3.602197656146459792e+01
3.602197656146459792e+01 3.763983416664116533e+01
3.763983416664116533e+01 4.060923668822670152e+01
4.060923668822670152e+01 3.840987631038881034e+01
3.840987631038881034e+01 4.375997383928392281e+01
4.375997383928392281e+01 3.399542797559664820e+01
3.399542797559664820e+01 3.475259392833771699e+01
3.475259392833771699e+01 3.572753589209989400e+01
3.572753589209989400e+01 3.707255558839970888e+01
3.707255558839970888e+01 3.935878032072093191e+01
3.935878032072093191e+01 4.103971408789811193e+01
4.103971408789811193e+01 3.776073797106468533e+01
3.776073797106468533e+01 4.100471126031467151e+01
4.100471126031467151e+01 3.767540910222327710e+01
3.767540910222327710e+01 4.081295122194797642e+01
4.081295122194797642e+01 3.814246556941373001e+01
3.814246556941373001e+01 4.231513547640929573e+01
4.231513547640929573e+01 3.589813209970508012e+01
3.589813209970508012e+01 3.731757380892972265e+01
3.731757380892972265e+01 3.992239991638832919e+01
3.992239991638832919e+01 3.972146140992365559e+01
3.972146140992365559e+01 4.013840267385877780e+01
4.013840267385877780e+01 3.923560274490388622e+01
3.923560274490388622e+01 4.159284664681318588e+01
4.159284664681318588e+01 3.690751680998420170e+01
3.690751680998420170e+01 3.906348402987539714e+01
3.906348402987539714e+01 4.187536669177028870e+01
4.187536669177028870e+01 3.639607954266496392e+01
3.639607954266496392e+01 3.819513692996752496e+01
3.819513692996752496e+01 4.250679038813568411e+01
4.250679038813568411e+01 3.564146671134211886e+01
3.564146671134211886e+01 3.696604206823703009e+01
3.696604206823703009e+01 3.912495975382663005e+01
3.912495975382663005e+01 4.181910063577154091e+01
4.181910063577154091e+01 3.656249484503147329e+01
3.656249484503147329e+01 3.849571186560639546e+01
3.849571186560639546e+01 4.435484785905353533e+01
4.435484785905353533e+01 3.333294497405199053e+01
3.333294497405199053e+01 3.396655635391432071e+01
3.396655635391432071e+01 3.471792211287888819e+01
3.471792211287888819e+01 3.567897786271809224e+01
3.567897786271809224e+01 3.700772648527320996e+01
3.700772648527320996e+01 3.920901079201701833e+01
3.920901079201701833e+01 4.140509103348692577e+01
4.140509103348692577e+01 3.717393298729552953e+01
