x	y
5.439741019042790171e+00 7.306846184788721388e+00
7.306846184788721388e+00 2.876122021478654478e+00
2.876122021478654478e+00 5.376674255372860145e+00
5.376674255372860145e+00 7.384076605619113387e+00
7.384076605619113387e+00 2.675414295263591313e+00
2.675414295263591313e+00 5.075682985674660586e+00
5.075682985674660586e+00 7.627749133424559957e+00
7.627749133424559957e+00 2.074174103841146088e+00
2.074174103841146088e+00 4.231352877596302520e+00
4.231352877596302520e+00 7.298802754110649715e+00
7.298802754110649715e+00 2.893343730491247268e+00
2.893343730491247268e+00 5.396253206290079873e+00
5.396253206290079873e+00 7.360889490674168201e+00
7.360889490674168201e+00 2.734833077566089177e+00
2.734833077566089177e+00 5.163640903550748007e+00
5.163640903550748007e+00 7.578043104348955339e+00
7.578043104348955339e+00 2.195509275406137384e+00
2.195509275406137384e+00 4.420490823358091959e+00
4.420490823358091959e+00 7.479497555253251662e+00
7.479497555253251662e+00 2.437920869109950317e+00
2.437920869109950317e+00 4.721583721423018076e+00
4.721583721423018076e+00 7.655933658023690747e+00
7.655933658023690747e+00 2.003209302655882151e+00
2.003209302655882151e+00 4.153637205784349362e+00
4.153637205784349362e+00 7.212493347893121687e+00
7.212493347893121687e+00 3.107746593731192331e+00
3.107746593731192331e+00 5.725953144811434470e+00
5.725953144811434470e+00 6.817534638581368434e+00
6.817534638581368434e+00 4.167128106616943661e+00
4.167128106616943661e+00 7.222989966695136488e+00
7.222989966695136488e+00 3.080552482611609744e+00
3.080552482611609744e+00 5.688344072543722874e+00
5.688344072543722874e+00 6.887807741207619294e+00
6.887807741207619294e+00 3.980117108830139472e+00
3.980117108830139472e+00 6.997340631516155263e+00
6.997340631516155263e+00 3.673389262538416578e+00
3.673389262538416578e+00 6.579462495246594322e+00
6.579462495246594322e+00 4.772848212257659206e+00
4.772848212257659206e+00 7.667976183406753243e+00
7.667976183406753243e+00 1.970611029920242396e+00
1.970611029920242396e+00 4.120335742218926178e+00
4.120335742218926178e+00 7.173699320486427666e+00
7.173699320486427666e+00 3.206301666278256857e+00
