x	y
-4.093032992794776170e-01 8.302245386710527697e+00
-2.524911659963929633e+00 8.139054676699140956e+00
-4.490227412485994662e+00 7.454383383252264572e+00
-6.218962602848923105e+00 6.282280918219873556e+00
-7.599514102696299567e+00 4.684526216920251507e+00
-8.536376841500445067e+00 2.750990635066897116e+00
-8.959405461652909963e+00 5.949326660010231249e-01
-8.829008388444410826e+00 -1.653524901081688814e+00
-8.139432711257708064e+00 -3.855161043659782294e+00
-6.919988437876208209e+00 -5.870191239219165524e+00
-5.234094393508701870e+00 -7.567052344727142277e+00
-3.176162946842069346e+00 -8.830900674097499348e+00
-8.664563150636346300e-01 -9.571273374603151751e+00
1.555798954919143773e+00 -9.728413375116623740e+00
3.940636148611351253e+00 -9.277835490634304350e+00
6.136389136204705608e+00 -8.232806826627889762e+00
7.998800573711259965e+00 -6.644584278805529820e+00
9.399778522998133212e+00 -4.600316302393657963e+00
1.023427478922699052e+01 -2.219149992060851950e+00
1.042638739033415973e+01 3.538804354405389319e-01
9.933351888761697168e+00 2.954571240399070930e+00
8.766066530421952052e+00 5.410755724911104458e+00
7.008179475537409608e+00 7.556366622672186395e+00
4.802325334276067892e+00 9.251579780950821785e+00
2.291981903218404781e+00 1.039015587010038821e+01
-3.953353144771323269e-01 1.089700061545560494e+01
-3.116726543363951496e+00 1.072879685675626860e+01
-5.708976652324246004e+00 9.880153647122295268e+00
-8.006901249497889950e+00 8.387503156005807980e+00
-9.858616798223003741e+00 6.328600237218447333e+00
-1.113634535649973323e+01 3.818782455233344031e+00
-1.174518061583523298e+01 1.004676595788037474e+00
-1.162990902433087292e+01 -1.944235455383743982e+00
-1.077950269585010545e+01 -4.845704873318021022e+00
-9.228941684005420143e+00 -7.515869709498701035e+00
-7.058182704933495089e+00 -9.780788468986115092e+00
-4.388277539493576462e+00 -1.148764858457601790e+01
-1.374819867662456119e+00 -1.251493391582686776e+01
1.800924847027750353e+00 -1.278088306163715160e+01
4.942642590426580718e+00 -1.224968798250908542e+01
7.850536260499914931e+00 -1.093501436282728356e+01
1.033257282704782121e+01 -8.900686497411303577e+00
1.221166030686916493e+01 -6.258957002485898258e+00
1.331817456511361364e+01 -3.168195474238392428e+00
1.342095585087365173e+01 1.602388226753004297e-01
1.204624592633340008e+01 3.426935875321577285e+00
8.753512121807354163e+00 6.185326910699921577e+00
4.775485683809031379e+00 8.046515194636814527e+00
1.684405035663776751e+00 9.049740344853999474e+00
-8.239325313219347802e-01 9.383414949516316383e+00
-3.171544472155718442e+00 9.114024540989346335e+00
-5.358695921148170171e+00 8.261601186388510598e+00
-7.262211786963437277e+00 6.866879999449997385e+00
-8.756398458650867411e+00 5.004102632376731918e+00
-9.736955026115644785e+00 2.778742261643587064e+00
-1.012920408125333793e+01 3.217508957987569307e-01
-9.893611200407903539e+00 -2.218037017750271289e+00
-9.029159709004201062e+00 -4.682815943991100127e+00
-7.574405473593952109e+00 -6.915521688629095109e+00
-5.606058263327219571e+00 -8.769740059455882530e+00
-3.235127319620192843e+00 -1.011919695284132814e+01
-6.008271460009304565e-01 -1.086622987465815449e+01
2.137427208838689197e+00 -1.094867980202459457e+01
4.809447916583392768e+00 -1.034474107928702225e+01
7.244409364674278429e+00 -9.075417916945220043e+00
9.280942170532668456e+00 -7.204530222649550453e+00
1.077556516722619051e+01 -4.836229230084255093e+00
1.160622722565313936e+01 -2.110940114946810553e+00
1.166986087468571398e+01 7.988494239966508204e-01
1.087318201367846804e+01 3.691859088206698836e+00
9.196474581661540526e+00 6.344251223357065150e+00
6.833957062605427346e+00 8.545848865745522716e+00
4.149961549422593876e+00 1.015738862801719122e+01
1.354447998558423238e+00 1.111438850964178648e+01
-1.497318608415899810e+00 1.137964797894709790e+01
-4.305706657661691139e+00 1.093220155588439191e+01
-6.911464385054953752e+00 9.784434042300080847e+00
-9.147580876943161243e+00 7.991153941087645762e+00
-1.086415166960497913e+01 5.648992803611668556e+00
-1.194003650561336727e+01 2.891553494703577698e+00
-1.229134197310452592e+01 -1.180516891934719759e-01
-1.187765326622219142e+01 -3.196716864255233936e+00
-1.070569723833253839e+01 -6.152365353250369040e+00
-8.830113799327362401e+00 -8.795814311754257986e+00
-6.351243978223848785e+00 -1.095276449822629949e+01
-3.409982363789604509e+00 -1.247515204874218142e+01
-1.799735986823467471e-01 -1.325115419083908819e+01
3.142407456969722457e+00 -1.321316996933463983e+01
6.349610098906549815e+00 -1.234326170033994785e+01
9.234984471999533540e+00 -1.067572252600253790e+01
1.160287060120645819e+01 -8.296781670074651061e+00
1.326985844180802765e+01 -5.342618520441680730e+00
1.402121601130518158e+01 -2.001512956664368126e+00
1.340306565310396714e+01 1.456328701746664178e+00
1.048298807658903087e+01 4.575248950554307470e+00
5.725332008118545701e+00 6.752512673766258189e+00
2.062354149960034189e+00 7.873760197941066963e+00
-3.776530281227337138e-01 8.274367009948754514e+00
-2.489468245844646432e+00 8.118905406443197137e+00
-4.451030053239044548e+00 7.443207694361209548e+00
-6.178209288097017193e+00 6.280992920586879080e+00
-7.559720541003519756e+00 4.693455285731654492e+00
-8.500071361770102030e+00 2.769832202302179081e+00
-8.928961146057726950e+00 6.227506119798229545e-01
-8.806489927736150136e+00 -1.618255537146733092e+00
-8.126457571908504818e+00 -3.814472521160849894e+00
-6.917614278111697601e+00 -5.826508271535611350e+00
-5.242738117619651916e+00 -7.523049728726604712e+00
-3.195557802962643912e+00 -8.789340524691494849e+00
-8.956509422178475788e-01 -9.534833392547756858e+00
1.518399029255045996e+00 -9.699515848238128513e+00
3.897186661128730911e+00 -9.258487387944976277e+00
6.089481272565045344e+00 -8.224460044651515034e+00
7.951365707103263958e+00 -6.648035141316054997e+00
9.354869048988788904e+00 -4.615608396768138277e+00
1.019506738032760929e+01 -2.245548382526701747e+00
1.039605011177612681e+01 3.179482607795485194e-01
9.915284029437941626e+00 2.911513255405231426e+00
8.762900130920543873e+00 5.363871667241448371e+00
7.020736751386622565e+00 7.509491593698133904e+00
4.828660344380109493e+00 9.208496747724591813e+00
2.329059480726976439e+00 1.035406320927942225e+01
